_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:27:20.385650","0.000000000",,"1","58","100.64.0.2",,"1.1.1.1",,,,
"11:27:20.385674","0.000024000",,"2","58","100.64.0.2",,"1.1.1.1",,,,
"11:27:20.879263","0.493613000",,"3","76",,,,,,,
"11:27:20.879271","0.493621000",,"4","48",,,,,,,
"11:27:20.891215","0.505565000",,"5","76",,,,,,,
"11:27:21.167006","0.781356000",,"6","76",,,,,,,
"11:27:21.647219","1.261569000",,"7","76",,,,,,,
"11:27:24.303352","3.917702000",,"8","48",,,,,,,
"11:27:25.071051","4.685401000",,"9","48",,,,,,,
"11:27:25.385702","5.000052000",,"10","58","100.64.0.2",,"8.8.8.8",,,,
"11:27:25.385730","5.000080000",,"11","58","100.64.0.2",,"8.8.8.8",,,,
"11:27:25.403232","5.017582000",,"12","180","8.8.8.8",,"100.64.0.2",,,,
"11:27:25.404620","5.018970000",,"13","204","8.8.8.8",,"100.64.0.2",,,,
"11:27:25.573107","5.187457000","0.000000000","14","60","100.64.0.2","37600","172.64.150.28","443","0","0","0"
"11:27:25.576865","5.191215000","0.003758000","15","60","172.64.150.28","443","100.64.0.2","37600","0","0","1"
"11:27:25.760768","5.375118000","0.187661000","16","52","100.64.0.2","37600","172.64.150.28","443","0","1","1"
"11:27:25.760798","5.375148000","0.187691000","17","444","100.64.0.2","37600","172.64.150.28","443","392","1","1"
"11:27:25.764669","5.379019000","0.191562000","18","52","172.64.150.28","443","100.64.0.2","37600","0","1","393"
"11:27:25.770570","5.384920000","0.197463000","19","1500","172.64.150.28","443","100.64.0.2","37600","1448","1","393"
"11:27:25.770616","5.384966000","0.197509000","20","1500","172.64.150.28","443","100.64.0.2","37600","1448","1449","393"
"11:27:25.770647","5.384997000","0.197540000","21","695","172.64.150.28","443","100.64.0.2","37600","643","2897","393"
"11:27:26.010814","5.625164000","0.437707000","22","52","100.64.0.2","37600","172.64.150.28","443","0","393","1449"
"11:27:26.073246","5.687596000","0.500139000","23","52","100.64.0.2","37600","172.64.150.28","443","0","393","2897"
"11:27:26.073271","5.687621000","0.500164000","24","52","100.64.0.2","37600","172.64.150.28","443","0","393","3540"
"11:27:26.073283","5.687633000","0.500176000","25","132","100.64.0.2","37600","172.64.150.28","443","80","393","3540"
"11:27:26.117764","5.732114000","0.544657000","26","52","172.64.150.28","443","100.64.0.2","37600","0","3540","473"
"11:27:26.260485","5.874835000","0.687378000","27","219","100.64.0.2","37600","172.64.150.28","443","167","473","3540"
"11:27:26.263600","5.877950000","0.690493000","28","52","172.64.150.28","443","100.64.0.2","37600","0","3540","640"
"11:27:26.563449","6.177799000","0.990342000","29","1500","172.64.150.28","443","100.64.0.2","37600","1448","3540","640"
"11:27:26.563495","6.177845000","0.990388000","30","445","172.64.150.28","443","100.64.0.2","37600","393","4988","640"
"11:27:26.563530","6.177880000","0.990423000","31","1500","172.64.150.28","443","100.64.0.2","37600","1448","5381","640"
"11:27:26.563542","6.177892000","0.990435000","32","1500","172.64.150.28","443","100.64.0.2","37600","1448","6829","640"
"11:27:26.563571","6.177921000","0.990464000","33","1500","172.64.150.28","443","100.64.0.2","37600","1448","8277","640"
"11:27:26.563581","6.177931000","0.990474000","34","1500","172.64.150.28","443","100.64.0.2","37600","1448","9725","640"
"11:27:26.563610","6.177960000","0.990503000","35","1500","172.64.150.28","443","100.64.0.2","37600","1448","11173","640"
"11:27:26.563620","6.177970000","0.990513000","36","1296","172.64.150.28","443","100.64.0.2","37600","1244","12621","640"
"11:27:26.567221","6.181571000","0.994114000","37","1500","172.64.150.28","443","100.64.0.2","37600","1448","13865","640"
"11:27:26.567265","6.181615000","0.994158000","38","1500","172.64.150.28","443","100.64.0.2","37600","1448","15313","640"
"11:27:26.571300","6.185650000","0.998193000","39","1500","172.64.150.28","443","100.64.0.2","37600","1448","16761","640"
"11:27:26.571345","6.185695000","0.998238000","40","1500","172.64.150.28","443","100.64.0.2","37600","1448","18209","640"
"11:27:26.575463","6.189813000","1.002356000","41","1500","172.64.150.28","443","100.64.0.2","37600","1448","19657","640"
"11:27:26.575506","6.189856000","1.002399000","42","1500","172.64.150.28","443","100.64.0.2","37600","1448","21105","640"
