_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"03:34:32.717972","0.000000000",,"1","76",,,,,,,
"03:34:32.717976","0.000004000",,"2","48",,,,,,,
"03:34:32.729161","0.011189000",,"3","76",,,,,,,
"03:34:32.762506","0.044534000","0.000000000","4","60","100.64.0.6","39994","172.26.191.172","8082","0","0","0"
"03:34:32.767607","0.049635000","0.005101000","5","60","172.26.191.172","8082","100.64.0.6","39994","0","0","1"
"03:34:32.870442","0.152470000","0.107936000","6","52","100.64.0.6","39994","172.26.191.172","8082","0","1","1"
"03:34:32.870454","0.152482000","0.107948000","7","100","100.64.0.6","39994","172.26.191.172","8082","48","1","1"
"03:34:32.870459","0.152487000","0.107953000","8","100","100.64.0.6","39994","172.26.191.172","8082","48","49","1"
"03:34:32.870467","0.152495000","0.107961000","9","90","100.64.0.6","39994","172.26.191.172","8082","38","97","1"
"03:34:32.874628","0.156656000","0.112122000","10","52","172.26.191.172","8082","100.64.0.6","39994","0","1","97"
"03:34:32.874638","0.156666000","0.112132000","11","52","172.26.191.172","8082","100.64.0.6","39994","0","1","135"
"03:34:32.877016","0.159044000","0.114510000","12","241","172.26.191.172","8082","100.64.0.6","39994","189","1","135"
"03:34:32.877025","0.159053000","0.114519000","13","296","172.26.191.172","8082","100.64.0.6","39994","244","190","135"
"03:34:32.877028","0.159056000","0.114522000","14","296","172.26.191.172","8082","100.64.0.6","39994","244","434","135"
"03:34:32.877031","0.159059000","0.114525000","15","296","172.26.191.172","8082","100.64.0.6","39994","244","678","135"
"03:34:32.877033","0.159061000","0.114527000","16","296","172.26.191.172","8082","100.64.0.6","39994","244","922","135"
"03:34:32.877037","0.159065000","0.114531000","17","296","172.26.191.172","8082","100.64.0.6","39994","244","1166","135"
"03:34:32.877039","0.159067000","0.114533000","18","296","172.26.191.172","8082","100.64.0.6","39994","244","1410","135"
"03:34:32.877042","0.159070000","0.114536000","19","296","172.26.191.172","8082","100.64.0.6","39994","244","1654","135"
"03:34:32.877045","0.159073000","0.114539000","20","296","172.26.191.172","8082","100.64.0.6","39994","244","1898","135"
"03:34:32.877048","0.159076000","0.114542000","21","296","172.26.191.172","8082","100.64.0.6","39994","244","2142","135"
"03:34:32.979328","0.261356000","0.216822000","22","52","100.64.0.6","39994","172.26.191.172","8082","0","135","190"
"03:34:32.979336","0.261364000","0.216830000","23","52","100.64.0.6","39994","172.26.191.172","8082","0","135","434"
"03:34:32.979339","0.261367000","0.216833000","24","52","100.64.0.6","39994","172.26.191.172","8082","0","135","678"
"03:34:32.979342","0.261370000","0.216836000","25","52","100.64.0.6","39994","172.26.191.172","8082","0","135","922"
"03:34:32.983870","0.265898000","0.221364000","26","296","172.26.191.172","8082","100.64.0.6","39994","244","2386","135"
"03:34:32.986024","0.268052000","0.223518000","27","296","172.26.191.172","8082","100.64.0.6","39994","244","2630","135"
"03:34:32.989755","0.271783000","0.227249000","28","296","172.26.191.172","8082","100.64.0.6","39994","244","2874","135"
"03:34:32.991456","0.273484000","0.228950000","29","52","100.64.0.6","39994","172.26.191.172","8082","0","135","1166"
"03:34:32.991463","0.273491000","0.228957000","30","52","100.64.0.6","39994","172.26.191.172","8082","0","135","1410"
"03:34:32.991466","0.273494000","0.228960000","31","52","100.64.0.6","39994","172.26.191.172","8082","0","135","1654"
"03:34:32.991469","0.273497000","0.228963000","32","52","100.64.0.6","39994","172.26.191.172","8082","0","135","1898"
"03:34:32.991472","0.273500000","0.228966000","33","52","100.64.0.6","39994","172.26.191.172","8082","0","135","2142"
"03:34:32.993498","0.275526000","0.230992000","34","296","172.26.191.172","8082","100.64.0.6","39994","244","3118","135"
