_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:35:17.674105","0.000000000","0.000000000","1","60","100.64.0.6","36068","172.26.191.172","8082","0","0","0"
"11:35:17.679223","0.005118000","0.005118000","2","60","172.26.191.172","8082","100.64.0.6","36068","0","0","1"
"11:35:17.772136","0.098031000","0.098031000","3","52","100.64.0.6","36068","172.26.191.172","8082","0","1","1"
"11:35:17.772147","0.098042000","0.098042000","4","100","100.64.0.6","36068","172.26.191.172","8082","48","1","1"
"11:35:17.772151","0.098046000","0.098046000","5","100","100.64.0.6","36068","172.26.191.172","8082","48","49","1"
"11:35:17.772155","0.098050000","0.098050000","6","90","100.64.0.6","36068","172.26.191.172","8082","38","97","1"
"11:35:17.776270","0.102165000","0.102165000","7","52","172.26.191.172","8082","100.64.0.6","36068","0","1","97"
"11:35:17.776287","0.102182000","0.102182000","8","52","172.26.191.172","8082","100.64.0.6","36068","0","1","135"
"11:35:17.778637","0.104532000","0.104532000","9","241","172.26.191.172","8082","100.64.0.6","36068","189","1","135"
"11:35:17.778658","0.104553000","0.104553000","10","296","172.26.191.172","8082","100.64.0.6","36068","244","190","135"
"11:35:17.778663","0.104558000","0.104558000","11","296","172.26.191.172","8082","100.64.0.6","36068","244","434","135"
"11:35:17.778667","0.104562000","0.104562000","12","296","172.26.191.172","8082","100.64.0.6","36068","244","678","135"
"11:35:17.778672","0.104567000","0.104567000","13","296","172.26.191.172","8082","100.64.0.6","36068","244","922","135"
"11:35:17.778678","0.104573000","0.104573000","14","296","172.26.191.172","8082","100.64.0.6","36068","244","1166","135"
"11:35:17.778682","0.104577000","0.104577000","15","296","172.26.191.172","8082","100.64.0.6","36068","244","1410","135"
"11:35:17.778686","0.104581000","0.104581000","16","296","172.26.191.172","8082","100.64.0.6","36068","244","1654","135"
"11:35:17.778691","0.104586000","0.104586000","17","296","172.26.191.172","8082","100.64.0.6","36068","244","1898","135"
"11:35:17.778694","0.104589000","0.104589000","18","296","172.26.191.172","8082","100.64.0.6","36068","244","2142","135"
"11:35:17.868868","0.194763000","0.194763000","19","52","100.64.0.6","36068","172.26.191.172","8082","0","135","190"
"11:35:17.868878","0.194773000","0.194773000","20","52","100.64.0.6","36068","172.26.191.172","8082","0","135","434"
"11:35:17.868882","0.194777000","0.194777000","21","52","100.64.0.6","36068","172.26.191.172","8082","0","135","678"
"11:35:17.868886","0.194781000","0.194781000","22","52","100.64.0.6","36068","172.26.191.172","8082","0","135","922"
"11:35:17.873643","0.199538000","0.199538000","23","296","172.26.191.172","8082","100.64.0.6","36068","244","2386","135"
"11:35:17.873665","0.199560000","0.199560000","24","296","172.26.191.172","8082","100.64.0.6","36068","244","2630","135"
"11:35:17.873670","0.199565000","0.199565000","25","296","172.26.191.172","8082","100.64.0.6","36068","244","2874","135"
"11:35:17.873674","0.199569000","0.199569000","26","296","172.26.191.172","8082","100.64.0.6","36068","244","3118","135"
"11:35:17.873678","0.199573000","0.199573000","27","296","172.26.191.172","8082","100.64.0.6","36068","244","3362","135"
"11:35:17.873683","0.199578000","0.199578000","28","296","172.26.191.172","8082","100.64.0.6","36068","244","3606","135"
"11:35:17.873687","0.199582000","0.199582000","29","296","172.26.191.172","8082","100.64.0.6","36068","244","3850","135"
"11:35:17.873691","0.199586000","0.199586000","30","296","172.26.191.172","8082","100.64.0.6","36068","244","4094","135"
"11:35:17.893929","0.219824000","0.219824000","31","52","100.64.0.6","36068","172.26.191.172","8082","0","135","1166"
"11:35:17.893938","0.219833000","0.219833000","32","52","100.64.0.6","36068","172.26.191.172","8082","0","135","1410"
"11:35:17.893941","0.219836000","0.219836000","33","52","100.64.0.6","36068","172.26.191.172","8082","0","135","1654"
"11:35:17.893944","0.219839000","0.219839000","34","52","100.64.0.6","36068","172.26.191.172","8082","0","135","1898"
"11:35:17.893949","0.219844000","0.219844000","35","52","100.64.0.6","36068","172.26.191.172","8082","0","135","2142"
"11:35:17.898773","0.224668000","0.224668000","36","296","172.26.191.172","8082","100.64.0.6","36068","244","4338","135"
"11:35:17.898795","0.224690000","0.224690000","37","296","172.26.191.172","8082","100.64.0.6","36068","244","4582","135"
"11:35:17.898801","0.224696000","0.224696000","38","296","172.26.191.172","8082","100.64.0.6","36068","244","4826","135"
"11:35:17.898805","0.224700000","0.224700000","39","296","172.26.191.172","8082","100.64.0.6","36068","244","5070","135"
"11:35:17.898809","0.224704000","0.224704000","40","296","172.26.191.172","8082","100.64.0.6","36068","244","5314","135"
"11:35:17.898813","0.224708000","0.224708000","41","296","172.26.191.172","8082","100.64.0.6","36068","244","5558","135"
"11:35:17.898819","0.224714000","0.224714000","42","296","172.26.191.172","8082","100.64.0.6","36068","244","5802","135"
"11:35:17.898823","0.224718000","0.224718000","43","296","172.26.191.172","8082","100.64.0.6","36068","244","6046","135"
"11:35:17.898828","0.224723000","0.224723000","44","296","172.26.191.172","8082","100.64.0.6","36068","244","6290","135"
"11:35:17.898831","0.224726000","0.224726000","45","296","172.26.191.172","8082","100.64.0.6","36068","244","6534","135"
"11:35:17.918111","0.244006000","0.244006000","46","52","100.64.0.6","36068","172.26.191.172","8082","0","135","2386"
"11:35:17.922883","0.248778000","0.248778000","47","296","172.26.191.172","8082","100.64.0.6","36068","244","6778","135"
"11:35:17.922905","0.248800000","0.248800000","48","296","172.26.191.172","8082","100.64.0.6","36068","244","7022","135"
"11:35:17.966737","0.292632000","0.292632000","49","52","100.64.0.6","36068","172.26.191.172","8082","0","135","2630"
"11:35:17.966747","0.292642000","0.292642000","50","52","100.64.0.6","36068","172.26.191.172","8082","0","135","2874"
"11:35:17.966751","0.292646000","0.292646000","51","52","100.64.0.6","36068","172.26.191.172","8082","0","135","3118"
"11:35:17.966755","0.292650000","0.292650000","52","52","100.64.0.6","36068","172.26.191.172","8082","0","135","3362"
"11:35:17.966759","0.292654000","0.292654000","53","52","100.64.0.6","36068","172.26.191.172","8082","0","135","3606"
"11:35:17.971516","0.297411000","0.297411000","54","296","172.26.191.172","8082","100.64.0.6","36068","244","7266","135"
"11:35:17.971538","0.297433000","0.297433000","55","296","172.26.191.172","8082","100.64.0.6","36068","244","7510","135"
"11:35:17.971544","0.297439000","0.297439000","56","296","172.26.191.172","8082","100.64.0.6","36068","244","7754","135"
"11:35:17.971547","0.297442000","0.297442000","57","296","172.26.191.172","8082","100.64.0.6","36068","244","7998","135"
"11:35:17.971551","0.297446000","0.297446000","58","296","172.26.191.172","8082","100.64.0.6","36068","244","8242","135"
"11:35:17.971556","0.297451000","0.297451000","59","296","172.26.191.172","8082","100.64.0.6","36068","244","8486","135"
"11:35:17.971561","0.297456000","0.297456000","60","296","172.26.191.172","8082","100.64.0.6","36068","244","8730","135"
