_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"06:06:54.323863","0.000000000",,"1","76",,,,,,,
"06:06:54.323866","0.000003000",,"2","48",,,,,,,
"06:06:54.338848","0.014985000",,"3","76",,,,,,,
"06:06:54.377152","0.053289000","0.000000000","4","60","100.64.0.2","41414","172.26.191.172","8081","0","0","0"
"06:06:54.378208","0.054345000","0.001056000","5","60","172.26.191.172","8081","100.64.0.2","41414","0","0","1"
"06:06:54.430881","0.107018000",,"6","76",,,,,,,
"06:06:54.497955","0.174092000","0.120803000","7","52","100.64.0.2","41414","172.26.191.172","8081","0","1","1"
"06:06:54.499757","0.175894000","0.122605000","8","296","172.26.191.172","8081","100.64.0.2","41414","244","1","1"
"06:06:54.499770","0.175907000","0.122618000","9","296","172.26.191.172","8081","100.64.0.2","41414","244","245","1"
"06:06:54.499783","0.175920000","0.122631000","10","296","172.26.191.172","8081","100.64.0.2","41414","244","489","1"
"06:06:54.499786","0.175923000","0.122634000","11","296","172.26.191.172","8081","100.64.0.2","41414","244","733","1"
"06:06:54.499797","0.175934000","0.122645000","12","296","172.26.191.172","8081","100.64.0.2","41414","244","977","1"
"06:06:54.499800","0.175937000","0.122648000","13","296","172.26.191.172","8081","100.64.0.2","41414","244","1221","1"
"06:06:54.499811","0.175948000","0.122659000","14","296","172.26.191.172","8081","100.64.0.2","41414","244","1465","1"
"06:06:54.499814","0.175951000","0.122662000","15","296","172.26.191.172","8081","100.64.0.2","41414","244","1709","1"
"06:06:54.499825","0.175962000","0.122673000","16","296","172.26.191.172","8081","100.64.0.2","41414","244","1953","1"
"06:06:54.499827","0.175964000","0.122675000","17","296","172.26.191.172","8081","100.64.0.2","41414","244","2197","1"
"06:06:54.558842","0.234979000",,"18","68","100.64.0.1",,"224.0.0.251",,,,
"06:06:54.558862","0.234999000",,"19","68","100.64.0.1",,"224.0.0.251",,,,
"06:06:54.566782","0.242919000",,"20","40","100.64.0.1",,"224.0.0.22",,,,
"06:06:54.619048","0.295185000","0.241896000","21","52","100.64.0.2","41414","172.26.191.172","8081","0","1","245"
"06:06:54.619058","0.295195000","0.241906000","22","52","100.64.0.2","41414","172.26.191.172","8081","0","1","489"
"06:06:54.619062","0.295199000","0.241910000","23","52","100.64.0.2","41414","172.26.191.172","8081","0","1","733"
"06:06:54.619071","0.295208000","0.241919000","24","52","100.64.0.2","41414","172.26.191.172","8081","0","1","977"
"06:06:54.619077","0.295214000","0.241925000","25","52","100.64.0.2","41414","172.26.191.172","8081","0","1","1221"
"06:06:54.619464","0.295601000","0.242312000","26","296","172.26.191.172","8081","100.64.0.2","41414","244","2441","1"
"06:06:54.619478","0.295615000","0.242326000","27","296","172.26.191.172","8081","100.64.0.2","41414","244","2685","1"
"06:06:54.624966","0.301103000","0.247814000","28","296","172.26.191.172","8081","100.64.0.2","41414","244","2929","1"
"06:06:54.624980","0.301117000","0.247828000","29","296","172.26.191.172","8081","100.64.0.2","41414","244","3173","1"
"06:06:54.630181","0.306318000","0.253029000","30","52","100.64.0.2","41414","172.26.191.172","8081","0","1","1465"
"06:06:54.630189","0.306326000","0.253037000","31","52","100.64.0.2","41414","172.26.191.172","8081","0","1","1709"
"06:06:54.630194","0.306331000","0.253042000","32","52","100.64.0.2","41414","172.26.191.172","8081","0","1","1953"
"06:06:54.630198","0.306335000","0.253046000","33","52","100.64.0.2","41414","172.26.191.172","8081","0","1","2197"
"06:06:54.630202","0.306339000","0.253050000","34","52","100.64.0.2","41414","172.26.191.172","8081","0","1","2441"
"06:06:54.632992","0.309129000","0.255840000","35","296","172.26.191.172","8081","100.64.0.2","41414","244","3417","1"
"06:06:54.633006","0.309143000","0.255854000","36","296","172.26.191.172","8081","100.64.0.2","41414","244","3661","1"
"06:06:54.638883","0.315020000",,"37","76",,,,,,,
"06:06:54.639242","0.315379000","0.262090000","38","296","172.26.191.172","8081","100.64.0.2","41414","244","3905","1"
"06:06:54.639256","0.315393000","0.262104000","39","296","172.26.191.172","8081","100.64.0.2","41414","244","4149","1"
"06:06:54.645508","0.321645000","0.268356000","40","296","172.26.191.172","8081","100.64.0.2","41414","244","4393","1"
"06:06:54.645521","0.321658000","0.268369000","41","296","172.26.191.172","8081","100.64.0.2","41414","244","4637","1"
"06:06:54.651768","0.327905000","0.274616000","42","296","172.26.191.172","8081","100.64.0.2","41414","244","4881","1"
"06:06:54.651781","0.327918000","0.274629000","43","296","172.26.191.172","8081","100.64.0.2","41414","244","5125","1"
"06:06:54.658024","0.334161000","0.280872000","44","296","172.26.191.172","8081","100.64.0.2","41414","244","5369","1"
"06:06:54.658038","0.334175000","0.280886000","45","296","172.26.191.172","8081","100.64.0.2","41414","244","5613","1"
"06:06:54.664267","0.340404000","0.287115000","46","296","172.26.191.172","8081","100.64.0.2","41414","244","5857","1"
"06:06:54.664281","0.340418000","0.287129000","47","296","172.26.191.172","8081","100.64.0.2","41414","244","6101","1"
"06:06:54.670529","0.346666000","0.293377000","48","296","172.26.191.172","8081","100.64.0.2","41414","244","6345","1"
"06:06:54.670542","0.346679000","0.293390000","49","296","172.26.191.172","8081","100.64.0.2","41414","244","6589","1"
"06:06:54.676848","0.352985000","0.299696000","50","296","172.26.191.172","8081","100.64.0.2","41414","244","6833","1"
"06:06:54.676888","0.353025000","0.299736000","51","296","172.26.191.172","8081","100.64.0.2","41414","244","7077","1"
"06:06:54.738401","0.414538000","0.361249000","52","52","100.64.0.2","41414","172.26.191.172","8081","0","1","2685"
