_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"04:15:44.502036","0.000000000","0.000000000","1","60","100.64.0.8","36362","172.26.191.172","8083","0","0","0"
"04:15:44.507375","0.005339000","0.005339000","2","60","172.26.191.172","8083","100.64.0.8","36362","0","0","1"
"04:15:44.529990","0.027954000",,"3","68","100.64.0.7",,"224.0.0.251",,,,
"04:15:44.530003","0.027967000",,"4","68","100.64.0.7",,"224.0.0.251",,,,
"04:15:44.541218","0.039182000",,"5","40","100.64.0.7",,"224.0.0.22",,,,
"04:15:44.609241","0.107205000","0.107205000","6","52","100.64.0.8","36362","172.26.191.172","8083","0","1","1"
"04:15:44.609254","0.107218000","0.107218000","7","100","100.64.0.8","36362","172.26.191.172","8083","48","1","1"
"04:15:44.609258","0.107222000","0.107222000","8","100","100.64.0.8","36362","172.26.191.172","8083","48","49","1"
"04:15:44.609263","0.107227000","0.107227000","9","90","100.64.0.8","36362","172.26.191.172","8083","38","97","1"
"04:15:44.613386","0.111350000","0.111350000","10","52","172.26.191.172","8083","100.64.0.8","36362","0","1","97"
"04:15:44.613402","0.111366000","0.111366000","11","52","172.26.191.172","8083","100.64.0.8","36362","0","1","135"
"04:15:44.615638","0.113602000","0.113602000","12","241","172.26.191.172","8083","100.64.0.8","36362","189","1","135"
"04:15:44.615665","0.113629000","0.113629000","13","296","172.26.191.172","8083","100.64.0.8","36362","244","190","135"
"04:15:44.615670","0.113634000","0.113634000","14","296","172.26.191.172","8083","100.64.0.8","36362","244","434","135"
"04:15:44.615674","0.113638000","0.113638000","15","296","172.26.191.172","8083","100.64.0.8","36362","244","678","135"
"04:15:44.615677","0.113641000","0.113641000","16","296","172.26.191.172","8083","100.64.0.8","36362","244","922","135"
"04:15:44.615681","0.113645000","0.113645000","17","296","172.26.191.172","8083","100.64.0.8","36362","244","1166","135"
"04:15:44.615685","0.113649000","0.113649000","18","296","172.26.191.172","8083","100.64.0.8","36362","244","1410","135"
