_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"05:22:01.667311","0.000000000",,"1","76",,,,,,,
"05:22:01.743512","0.076201000","0.000000000","2","60","100.64.0.2","52688","172.26.191.172","8081","0","0","0"
"05:22:01.743957","0.076646000","0.000445000","3","60","172.26.191.172","8081","100.64.0.2","52688","0","0","1"
"05:22:01.843309","0.175998000",,"4","76",,,,,,,
"05:22:01.863847","0.196536000","0.120335000","5","52","100.64.0.2","52688","172.26.191.172","8081","0","1","1"
"05:22:01.865717","0.198406000","0.122205000","6","296","172.26.191.172","8081","100.64.0.2","52688","244","1","1"
"05:22:01.865730","0.198419000","0.122218000","7","296","172.26.191.172","8081","100.64.0.2","52688","244","245","1"
"05:22:01.865746","0.198435000","0.122234000","8","296","172.26.191.172","8081","100.64.0.2","52688","244","489","1"
"05:22:01.865751","0.198440000","0.122239000","9","296","172.26.191.172","8081","100.64.0.2","52688","244","733","1"
"05:22:01.865764","0.198453000","0.122252000","10","296","172.26.191.172","8081","100.64.0.2","52688","244","977","1"
"05:22:01.865769","0.198458000","0.122257000","11","296","172.26.191.172","8081","100.64.0.2","52688","244","1221","1"
"05:22:01.865784","0.198473000","0.122272000","12","296","172.26.191.172","8081","100.64.0.2","52688","244","1465","1"
"05:22:01.865788","0.198477000","0.122276000","13","296","172.26.191.172","8081","100.64.0.2","52688","244","1709","1"
"05:22:01.865927","0.198616000","0.122415000","14","296","172.26.191.172","8081","100.64.0.2","52688","244","1953","1"
"05:22:01.865935","0.198624000","0.122423000","15","296","172.26.191.172","8081","100.64.0.2","52688","244","2197","1"
"05:22:01.984522","0.317211000","0.241010000","16","52","100.64.0.2","52688","172.26.191.172","8081","0","1","245"
"05:22:01.984556","0.317245000","0.241044000","17","52","100.64.0.2","52688","172.26.191.172","8081","0","1","489"
"05:22:01.984581","0.317270000","0.241069000","18","52","100.64.0.2","52688","172.26.191.172","8081","0","1","733"
