_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"05:21:44.806248","0.000000000","0.000000000","1","60","100.64.0.2","32796","172.26.191.172","8081","0","0","0"
"05:21:44.807249","0.001001000","0.001001000","2","60","172.26.191.172","8081","100.64.0.2","32796","0","0","1"
"05:21:44.927158","0.120910000","0.120910000","3","52","100.64.0.2","32796","172.26.191.172","8081","0","1","1"
"05:21:44.928002","0.121754000","0.121754000","4","296","172.26.191.172","8081","100.64.0.2","32796","244","1","1"
"05:21:44.928016","0.121768000","0.121768000","5","296","172.26.191.172","8081","100.64.0.2","32796","244","245","1"
"05:21:44.928028","0.121780000","0.121780000","6","296","172.26.191.172","8081","100.64.0.2","32796","244","489","1"
"05:21:44.928031","0.121783000","0.121783000","7","296","172.26.191.172","8081","100.64.0.2","32796","244","733","1"
"05:21:44.928043","0.121795000","0.121795000","8","296","172.26.191.172","8081","100.64.0.2","32796","244","977","1"
"05:21:44.928046","0.121798000","0.121798000","9","296","172.26.191.172","8081","100.64.0.2","32796","244","1221","1"
"05:21:44.928057","0.121809000","0.121809000","10","296","172.26.191.172","8081","100.64.0.2","32796","244","1465","1"
"05:21:44.928059","0.121811000","0.121811000","11","296","172.26.191.172","8081","100.64.0.2","32796","244","1709","1"
"05:21:44.928070","0.121822000","0.121822000","12","296","172.26.191.172","8081","100.64.0.2","32796","244","1953","1"
"05:21:44.928073","0.121825000","0.121825000","13","296","172.26.191.172","8081","100.64.0.2","32796","244","2197","1"
"05:21:45.047964","0.241716000","0.241716000","14","52","100.64.0.2","32796","172.26.191.172","8081","0","1","245"
"05:21:45.047973","0.241725000","0.241725000","15","52","100.64.0.2","32796","172.26.191.172","8081","0","1","489"
"05:21:45.047976","0.241728000","0.241728000","16","52","100.64.0.2","32796","172.26.191.172","8081","0","1","733"
"05:21:45.047979","0.241731000","0.241731000","17","52","100.64.0.2","32796","172.26.191.172","8081","0","1","977"
"05:21:45.047982","0.241734000","0.241734000","18","52","100.64.0.2","32796","172.26.191.172","8081","0","1","1221"
"05:21:45.048333","0.242085000","0.242085000","19","296","172.26.191.172","8081","100.64.0.2","32796","244","2441","1"
"05:21:45.048342","0.242094000","0.242094000","20","296","172.26.191.172","8081","100.64.0.2","32796","244","2685","1"
"05:21:45.053855","0.247607000","0.247607000","21","296","172.26.191.172","8081","100.64.0.2","32796","244","2929","1"
"05:21:45.053866","0.247618000","0.247618000","22","296","172.26.191.172","8081","100.64.0.2","32796","244","3173","1"
"05:21:45.060044","0.253796000","0.253796000","23","52","100.64.0.2","32796","172.26.191.172","8081","0","1","1465"
"05:21:45.060051","0.253803000","0.253803000","24","52","100.64.0.2","32796","172.26.191.172","8081","0","1","1709"
"05:21:45.060054","0.253806000","0.253806000","25","52","100.64.0.2","32796","172.26.191.172","8081","0","1","1953"
"05:21:45.060057","0.253809000","0.253809000","26","52","100.64.0.2","32796","172.26.191.172","8081","0","1","2197"
"05:21:45.060060","0.253812000","0.253812000","27","52","100.64.0.2","32796","172.26.191.172","8081","0","1","2441"
"05:21:45.061977","0.255729000","0.255729000","28","296","172.26.191.172","8081","100.64.0.2","32796","244","3417","1"
"05:21:45.061990","0.255742000","0.255742000","29","296","172.26.191.172","8081","100.64.0.2","32796","244","3661","1"
"05:21:45.068220","0.261972000","0.261972000","30","296","172.26.191.172","8081","100.64.0.2","32796","244","3905","1"
"05:21:45.068232","0.261984000","0.261984000","31","296","172.26.191.172","8081","100.64.0.2","32796","244","4149","1"
"05:21:45.074617","0.268369000","0.268369000","32","296","172.26.191.172","8081","100.64.0.2","32796","244","4393","1"
"05:21:45.074631","0.268383000","0.268383000","33","296","172.26.191.172","8081","100.64.0.2","32796","244","4637","1"
"05:21:45.075879","0.269631000",,"34","68","100.64.0.1",,"224.0.0.251",,,,
"05:21:45.075892","0.269644000",,"35","68","100.64.0.1",,"224.0.0.251",,,,
"05:21:45.080951","0.274703000","0.274703000","36","296","172.26.191.172","8081","100.64.0.2","32796","244","4881","1"
"05:21:45.080965","0.274717000","0.274717000","37","296","172.26.191.172","8081","100.64.0.2","32796","244","5125","1"
"05:21:45.087184","0.280936000","0.280936000","38","296","172.26.191.172","8081","100.64.0.2","32796","244","5369","1"
"05:21:45.087203","0.280955000","0.280955000","39","296","172.26.191.172","8081","100.64.0.2","32796","244","5613","1"
"05:21:45.087235","0.280987000",,"40","40","100.64.0.1",,"224.0.0.22",,,,
"05:21:45.093576","0.287328000","0.287328000","41","296","172.26.191.172","8081","100.64.0.2","32796","244","5857","1"
"05:21:45.093590","0.287342000","0.287342000","42","296","172.26.191.172","8081","100.64.0.2","32796","244","6101","1"
"05:21:45.099900","0.293652000","0.293652000","43","296","172.26.191.172","8081","100.64.0.2","32796","244","6345","1"
"05:21:45.099914","0.293666000","0.293666000","44","296","172.26.191.172","8081","100.64.0.2","32796","244","6589","1"
"05:21:45.106152","0.299904000","0.299904000","45","296","172.26.191.172","8081","100.64.0.2","32796","244","6833","1"
"05:21:45.106162","0.299914000","0.299914000","46","296","172.26.191.172","8081","100.64.0.2","32796","244","7077","1"
"05:21:45.167394","0.361146000","0.361146000","47","52","100.64.0.2","32796","172.26.191.172","8081","0","1","2685"
"05:21:45.167402","0.361154000","0.361154000","48","52","100.64.0.2","32796","172.26.191.172","8081","0","1","2929"
"05:21:45.167406","0.361158000","0.361158000","49","52","100.64.0.2","32796","172.26.191.172","8081","0","1","3173"
"05:21:45.167408","0.361160000","0.361160000","50","52","100.64.0.2","32796","172.26.191.172","8081","0","1","3417"
"05:21:45.167710","0.361462000","0.361462000","51","296","172.26.191.172","8081","100.64.0.2","32796","244","7321","1"
"05:21:45.167723","0.361475000","0.361475000","52","296","172.26.191.172","8081","100.64.0.2","32796","244","7565","1"
"05:21:45.170844","0.364596000","0.364596000","53","296","172.26.191.172","8081","100.64.0.2","32796","244","7809","1"
"05:21:45.170857","0.364609000","0.364609000","54","296","172.26.191.172","8081","100.64.0.2","32796","244","8053","1"
"05:21:45.175980","0.369732000","0.369732000","55","296","172.26.191.172","8081","100.64.0.2","32796","244","8297","1"
"05:21:45.175994","0.369746000","0.369746000","56","296","172.26.191.172","8081","100.64.0.2","32796","244","8541","1"
"05:21:45.179496","0.373248000","0.373248000","57","52","100.64.0.2","32796","172.26.191.172","8081","0","1","3661"
"05:21:45.179503","0.373255000","0.373255000","58","52","100.64.0.2","32796","172.26.191.172","8081","0","1","3905"
"05:21:45.179506","0.373258000","0.373258000","59","52","100.64.0.2","32796","172.26.191.172","8081","0","1","4149"
"05:21:45.179509","0.373261000","0.373261000","60","52","100.64.0.2","32796","172.26.191.172","8081","0","1","4393"
"05:21:45.181064","0.374816000","0.374816000","61","296","172.26.191.172","8081","100.64.0.2","32796","244","8785","1"
"05:21:45.181078","0.374830000","0.374830000","62","296","172.26.191.172","8081","100.64.0.2","32796","244","9029","1"
"05:21:45.185299","0.379051000","0.379051000","63","296","172.26.191.172","8081","100.64.0.2","32796","244","9273","1"
"05:21:45.185313","0.379065000","0.379065000","64","296","172.26.191.172","8081","100.64.0.2","32796","244","9517","1"
"05:21:45.189437","0.383189000","0.383189000","65","296","172.26.191.172","8081","100.64.0.2","32796","244","9761","1"
"05:21:45.189444","0.383196000","0.383196000","66","296","172.26.191.172","8081","100.64.0.2","32796","244","10005","1"
"05:21:45.191602","0.385354000","0.385354000","67","52","100.64.0.2","32796","172.26.191.172","8081","0","1","4637"
"05:21:45.191608","0.385360000","0.385360000","68","52","100.64.0.2","32796","172.26.191.172","8081","0","1","4881"
"05:21:45.191610","0.385362000","0.385362000","69","52","100.64.0.2","32796","172.26.191.172","8081","0","1","5125"
"05:21:45.191613","0.385365000","0.385365000","70","52","100.64.0.2","32796","172.26.191.172","8081","0","1","5369"
"05:21:45.193788","0.387540000","0.387540000","71","296","172.26.191.172","8081","100.64.0.2","32796","244","10249","1"
"05:21:45.193802","0.387554000","0.387554000","72","296","172.26.191.172","8081","100.64.0.2","32796","244","10493","1"
"05:21:45.197445","0.391197000","0.391197000","73","296","172.26.191.172","8081","100.64.0.2","32796","244","10737","1"
"05:21:45.197458","0.391210000","0.391210000","74","296","172.26.191.172","8081","100.64.0.2","32796","244","10981","1"
"05:21:45.201098","0.394850000","0.394850000","75","296","172.26.191.172","8081","100.64.0.2","32796","244","11225","1"
"05:21:45.201111","0.394863000","0.394863000","76","296","172.26.191.172","8081","100.64.0.2","32796","244","11469","1"
"05:21:45.204745","0.398497000","0.398497000","77","296","172.26.191.172","8081","100.64.0.2","32796","244","11713","1"
"05:21:45.204750","0.398502000","0.398502000","78","52","100.64.0.2","32796","172.26.191.172","8081","0","1","5613"
"05:21:45.204755","0.398507000","0.398507000","79","296","172.26.191.172","8081","100.64.0.2","32796","244","11957","1"
"05:21:45.204757","0.398509000","0.398509000","80","52","100.64.0.2","32796","172.26.191.172","8081","0","1","5857"
"05:21:45.204760","0.398512000","0.398512000","81","52","100.64.0.2","32796","172.26.191.172","8081","0","1","6101"
"05:21:45.204763","0.398515000","0.398515000","82","52","100.64.0.2","32796","172.26.191.172","8081","0","1","6345"
"05:21:45.208392","0.402144000","0.402144000","83","296","172.26.191.172","8081","100.64.0.2","32796","244","12201","1"
"05:21:45.208406","0.402158000","0.402158000","84","296","172.26.191.172","8081","100.64.0.2","32796","244","12445","1"
"05:21:45.211616","0.405368000","0.405368000","85","296","172.26.191.172","8081","100.64.0.2","32796","244","12689","1"
"05:21:45.211630","0.405382000","0.405382000","86","296","172.26.191.172","8081","100.64.0.2","32796","244","12933","1"
"05:21:45.214840","0.408592000","0.408592000","87","296","172.26.191.172","8081","100.64.0.2","32796","244","13177","1"
"05:21:45.214853","0.408605000","0.408605000","88","296","172.26.191.172","8081","100.64.0.2","32796","244","13421","1"
"05:21:45.216848","0.410600000","0.410600000","89","52","100.64.0.2","32796","172.26.191.172","8081","0","1","6589"
"05:21:45.216854","0.410606000","0.410606000","90","52","100.64.0.2","32796","172.26.191.172","8081","0","1","6833"
"05:21:45.216857","0.410609000","0.410609000","91","52","100.64.0.2","32796","172.26.191.172","8081","0","1","7077"
"05:21:45.216859","0.410611000","0.410611000","92","52","100.64.0.2","32796","172.26.191.172","8081","0","1","7321"
"05:21:45.217987","0.411739000","0.411739000","93","296","172.26.191.172","8081","100.64.0.2","32796","244","13665","1"
"05:21:45.217999","0.411751000","0.411751000","94","296","172.26.191.172","8081","100.64.0.2","32796","244","13909","1"
"05:21:45.220929","0.414681000","0.414681000","95","296","172.26.191.172","8081","100.64.0.2","32796","244","14153","1"
"05:21:45.220943","0.414695000","0.414695000","96","296","172.26.191.172","8081","100.64.0.2","32796","244","14397","1"
"05:21:45.223796","0.417548000","0.417548000","97","296","172.26.191.172","8081","100.64.0.2","32796","244","14641","1"
"05:21:45.223809","0.417561000","0.417561000","98","296","172.26.191.172","8081","100.64.0.2","32796","244","14885","1"
"05:21:45.226678","0.420430000","0.420430000","99","296","172.26.191.172","8081","100.64.0.2","32796","244","15129","1"
"05:21:45.226692","0.420444000","0.420444000","100","296","172.26.191.172","8081","100.64.0.2","32796","244","15373","1"
"05:21:45.229542","0.423294000","0.423294000","101","296","172.26.191.172","8081","100.64.0.2","32796","244","15617","1"
"05:21:45.229556","0.423308000","0.423308000","102","296","172.26.191.172","8081","100.64.0.2","32796","244","15861","1"
"05:21:45.232423","0.426175000","0.426175000","103","296","172.26.191.172","8081","100.64.0.2","32796","244","16105","1"
"05:21:45.232436","0.426188000","0.426188000","104","296","172.26.191.172","8081","100.64.0.2","32796","244","16349","1"
"05:21:45.235249","0.429001000","0.429001000","105","296","172.26.191.172","8081","100.64.0.2","32796","244","16593","1"
"05:21:45.235261","0.429013000","0.429013000","106","296","172.26.191.172","8081","100.64.0.2","32796","244","16837","1"
"05:21:45.288517","0.482269000","0.482269000","107","52","100.64.0.2","32796","172.26.191.172","8081","0","1","7565"
"05:21:45.288526","0.482278000","0.482278000","108","52","100.64.0.2","32796","172.26.191.172","8081","0","1","7809"
"05:21:45.288529","0.482281000","0.482281000","109","52","100.64.0.2","32796","172.26.191.172","8081","0","1","8053"
"05:21:45.288532","0.482284000","0.482284000","110","52","100.64.0.2","32796","172.26.191.172","8081","0","1","8297"
"05:21:45.288536","0.482288000","0.482288000","111","52","100.64.0.2","32796","172.26.191.172","8081","0","1","8541"
"05:21:45.288890","0.482642000","0.482642000","112","296","172.26.191.172","8081","100.64.0.2","32796","244","17081","1"
"05:21:45.288900","0.482652000","0.482652000","113","296","172.26.191.172","8081","100.64.0.2","32796","244","17325","1"
"05:21:45.290321","0.484073000","0.484073000","114","296","172.26.191.172","8081","100.64.0.2","32796","244","17569","1"
