_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"05:22:19.026979","0.000000000","0.000000000","1","60","100.64.0.2","45358","172.26.191.172","8081","0","0","0"
"05:22:19.027949","0.000970000","0.000970000","2","60","172.26.191.172","8081","100.64.0.2","45358","0","0","1"
"05:22:19.146777","0.119798000","0.119798000","3","52","100.64.0.2","45358","172.26.191.172","8081","0","1","1"
"05:22:19.148644","0.121665000","0.121665000","4","296","172.26.191.172","8081","100.64.0.2","45358","244","1","1"
"05:22:19.148657","0.121678000","0.121678000","5","296","172.26.191.172","8081","100.64.0.2","45358","244","245","1"
"05:22:19.148670","0.121691000","0.121691000","6","296","172.26.191.172","8081","100.64.0.2","45358","244","489","1"
"05:22:19.148673","0.121694000","0.121694000","7","296","172.26.191.172","8081","100.64.0.2","45358","244","733","1"
"05:22:19.148688","0.121709000","0.121709000","8","296","172.26.191.172","8081","100.64.0.2","45358","244","977","1"
"05:22:19.148691","0.121712000","0.121712000","9","296","172.26.191.172","8081","100.64.0.2","45358","244","1221","1"
"05:22:19.148701","0.121722000","0.121722000","10","296","172.26.191.172","8081","100.64.0.2","45358","244","1465","1"
"05:22:19.148704","0.121725000","0.121725000","11","296","172.26.191.172","8081","100.64.0.2","45358","244","1709","1"
"05:22:19.148715","0.121736000","0.121736000","12","296","172.26.191.172","8081","100.64.0.2","45358","244","1953","1"
"05:22:19.148717","0.121738000","0.121738000","13","296","172.26.191.172","8081","100.64.0.2","45358","244","2197","1"
"05:22:19.267313","0.240334000","0.240334000","14","52","100.64.0.2","45358","172.26.191.172","8081","0","1","245"
"05:22:19.267330","0.240351000","0.240351000","15","52","100.64.0.2","45358","172.26.191.172","8081","0","1","489"
"05:22:19.267338","0.240359000","0.240359000","16","52","100.64.0.2","45358","172.26.191.172","8081","0","1","733"
"05:22:19.267349","0.240370000","0.240370000","17","52","100.64.0.2","45358","172.26.191.172","8081","0","1","977"
"05:22:19.267366","0.240387000","0.240387000","18","52","100.64.0.2","45358","172.26.191.172","8081","0","1","1221"
"05:22:19.267812","0.240833000","0.240833000","19","296","172.26.191.172","8081","100.64.0.2","45358","244","2441","1"
"05:22:19.267838","0.240859000","0.240859000","20","296","172.26.191.172","8081","100.64.0.2","45358","244","2685","1"
"05:22:19.273396","0.246417000","0.246417000","21","296","172.26.191.172","8081","100.64.0.2","45358","244","2929","1"
"05:22:19.273430","0.246451000","0.246451000","22","296","172.26.191.172","8081","100.64.0.2","45358","244","3173","1"
"05:22:19.279533","0.252554000","0.252554000","23","52","100.64.0.2","45358","172.26.191.172","8081","0","1","1465"
"05:22:19.279552","0.252573000","0.252573000","24","52","100.64.0.2","45358","172.26.191.172","8081","0","1","1709"
"05:22:19.279560","0.252581000","0.252581000","25","52","100.64.0.2","45358","172.26.191.172","8081","0","1","1953"
"05:22:19.279569","0.252590000","0.252590000","26","52","100.64.0.2","45358","172.26.191.172","8081","0","1","2197"
"05:22:19.279579","0.252600000","0.252600000","27","52","100.64.0.2","45358","172.26.191.172","8081","0","1","2441"
"05:22:19.281299","0.254320000","0.254320000","28","296","172.26.191.172","8081","100.64.0.2","45358","244","3417","1"
"05:22:19.281345","0.254366000","0.254366000","29","296","172.26.191.172","8081","100.64.0.2","45358","244","3661","1"
"05:22:19.287595","0.260616000","0.260616000","30","296","172.26.191.172","8081","100.64.0.2","45358","244","3905","1"
"05:22:19.287623","0.260644000","0.260644000","31","296","172.26.191.172","8081","100.64.0.2","45358","244","4149","1"
"05:22:19.293923","0.266944000","0.266944000","32","296","172.26.191.172","8081","100.64.0.2","45358","244","4393","1"
"05:22:19.293955","0.266976000","0.266976000","33","296","172.26.191.172","8081","100.64.0.2","45358","244","4637","1"
"05:22:19.300096","0.273117000","0.273117000","34","296","172.26.191.172","8081","100.64.0.2","45358","244","4881","1"
"05:22:19.300124","0.273145000","0.273145000","35","296","172.26.191.172","8081","100.64.0.2","45358","244","5125","1"
"05:22:19.306435","0.279456000","0.279456000","36","296","172.26.191.172","8081","100.64.0.2","45358","244","5369","1"
"05:22:19.306467","0.279488000","0.279488000","37","296","172.26.191.172","8081","100.64.0.2","45358","244","5613","1"
"05:22:19.308652","0.281673000",,"38","68","100.64.0.1",,"224.0.0.251",,,,
"05:22:19.308709","0.281730000",,"39","68","100.64.0.1",,"224.0.0.251",,,,
"05:22:19.312649","0.285670000","0.285670000","40","296","172.26.191.172","8081","100.64.0.2","45358","244","5857","1"
"05:22:19.312674","0.285695000","0.285695000","41","296","172.26.191.172","8081","100.64.0.2","45358","244","6101","1"
"05:22:19.318888","0.291909000","0.291909000","42","296","172.26.191.172","8081","100.64.0.2","45358","244","6345","1"
"05:22:19.318914","0.291935000","0.291935000","43","296","172.26.191.172","8081","100.64.0.2","45358","244","6589","1"
"05:22:19.319301","0.292322000",,"44","40","100.64.0.1",,"224.0.0.22",,,,
"05:22:19.325147","0.298168000","0.298168000","45","296","172.26.191.172","8081","100.64.0.2","45358","244","6833","1"
"05:22:19.325172","0.298193000","0.298193000","46","296","172.26.191.172","8081","100.64.0.2","45358","244","7077","1"
"05:22:19.348292","0.321313000",,"47","76",,,,,,,
"05:22:19.348305","0.321326000",,"48","48",,,,,,,
"05:22:19.359458","0.332479000",,"49","76",,,,,,,
"05:22:19.387673","0.360694000","0.360694000","50","52","100.64.0.2","45358","172.26.191.172","8081","0","1","2685"
"05:22:19.387700","0.360721000","0.360721000","51","52","100.64.0.2","45358","172.26.191.172","8081","0","1","2929"
"05:22:19.387710","0.360731000","0.360731000","52","52","100.64.0.2","45358","172.26.191.172","8081","0","1","3173"
"05:22:19.387722","0.360743000","0.360743000","53","52","100.64.0.2","45358","172.26.191.172","8081","0","1","3417"
"05:22:19.388339","0.361360000","0.361360000","54","296","172.26.191.172","8081","100.64.0.2","45358","244","7321","1"
"05:22:19.388377","0.361398000","0.361398000","55","296","172.26.191.172","8081","100.64.0.2","45358","244","7565","1"
"05:22:19.391350","0.364371000","0.364371000","56","296","172.26.191.172","8081","100.64.0.2","45358","244","7809","1"
"05:22:19.391409","0.364430000","0.364430000","57","296","172.26.191.172","8081","100.64.0.2","45358","244","8053","1"
"05:22:19.396444","0.369465000","0.369465000","58","296","172.26.191.172","8081","100.64.0.2","45358","244","8297","1"
"05:22:19.396484","0.369505000","0.369505000","59","296","172.26.191.172","8081","100.64.0.2","45358","244","8541","1"
"05:22:19.399949","0.372970000","0.372970000","60","52","100.64.0.2","45358","172.26.191.172","8081","0","1","3661"
"05:22:19.399974","0.372995000","0.372995000","61","52","100.64.0.2","45358","172.26.191.172","8081","0","1","3905"
"05:22:19.399987","0.373008000","0.373008000","62","52","100.64.0.2","45358","172.26.191.172","8081","0","1","4149"
"05:22:19.400000","0.373021000","0.373021000","63","52","100.64.0.2","45358","172.26.191.172","8081","0","1","4393"
"05:22:19.401580","0.374601000","0.374601000","64","296","172.26.191.172","8081","100.64.0.2","45358","244","8785","1"
"05:22:19.401620","0.374641000","0.374641000","65","296","172.26.191.172","8081","100.64.0.2","45358","244","9029","1"
"05:22:19.405694","0.378715000","0.378715000","66","296","172.26.191.172","8081","100.64.0.2","45358","244","9273","1"
"05:22:19.405734","0.378755000","0.378755000","67","296","172.26.191.172","8081","100.64.0.2","45358","244","9517","1"
"05:22:19.409965","0.382986000","0.382986000","68","296","172.26.191.172","8081","100.64.0.2","45358","244","9761","1"
"05:22:19.410005","0.383026000","0.383026000","69","296","172.26.191.172","8081","100.64.0.2","45358","244","10005","1"
"05:22:19.411239","0.384260000","0.384260000","70","52","100.64.0.2","45358","172.26.191.172","8081","0","1","4637"
"05:22:19.411262","0.384283000","0.384283000","71","52","100.64.0.2","45358","172.26.191.172","8081","0","1","4881"
"05:22:19.411274","0.384295000","0.384295000","72","52","100.64.0.2","45358","172.26.191.172","8081","0","1","5125"
"05:22:19.411286","0.384307000","0.384307000","73","52","100.64.0.2","45358","172.26.191.172","8081","0","1","5369"
"05:22:19.414238","0.387259000","0.387259000","74","296","172.26.191.172","8081","100.64.0.2","45358","244","10249","1"
"05:22:19.414273","0.387294000","0.387294000","75","296","172.26.191.172","8081","100.64.0.2","45358","244","10493","1"
"05:22:19.417878","0.390899000","0.390899000","76","296","172.26.191.172","8081","100.64.0.2","45358","244","10737","1"
"05:22:19.417912","0.390933000","0.390933000","77","296","172.26.191.172","8081","100.64.0.2","45358","244","10981","1"
"05:22:19.421566","0.394587000","0.394587000","78","296","172.26.191.172","8081","100.64.0.2","45358","244","11225","1"
"05:22:19.421601","0.394622000","0.394622000","79","296","172.26.191.172","8081","100.64.0.2","45358","244","11469","1"
"05:22:19.424406","0.397427000","0.397427000","80","52","100.64.0.2","45358","172.26.191.172","8081","0","1","5613"
"05:22:19.424427","0.397448000","0.397448000","81","52","100.64.0.2","45358","172.26.191.172","8081","0","1","5857"
"05:22:19.424439","0.397460000","0.397460000","82","52","100.64.0.2","45358","172.26.191.172","8081","0","1","6101"
"05:22:19.424450","0.397471000","0.397471000","83","52","100.64.0.2","45358","172.26.191.172","8081","0","1","6345"
"05:22:19.425212","0.398233000","0.398233000","84","296","172.26.191.172","8081","100.64.0.2","45358","244","11713","1"
"05:22:19.425247","0.398268000","0.398268000","85","296","172.26.191.172","8081","100.64.0.2","45358","244","11957","1"
"05:22:19.428487","0.401508000","0.401508000","86","296","172.26.191.172","8081","100.64.0.2","45358","244","12201","1"
"05:22:19.428524","0.401545000","0.401545000","87","296","172.26.191.172","8081","100.64.0.2","45358","244","12445","1"
"05:22:19.431829","0.404850000","0.404850000","88","296","172.26.191.172","8081","100.64.0.2","45358","244","12689","1"
"05:22:19.431873","0.404894000","0.404894000","89","296","172.26.191.172","8081","100.64.0.2","45358","244","12933","1"
"05:22:19.435005","0.408026000","0.408026000","90","296","172.26.191.172","8081","100.64.0.2","45358","244","13177","1"
"05:22:19.435049","0.408070000","0.408070000","91","296","172.26.191.172","8081","100.64.0.2","45358","244","13421","1"
"05:22:19.436799","0.409820000","0.409820000","92","52","100.64.0.2","45358","172.26.191.172","8081","0","1","6589"
"05:22:19.436824","0.409845000","0.409845000","93","52","100.64.0.2","45358","172.26.191.172","8081","0","1","6833"
"05:22:19.436836","0.409857000","0.409857000","94","52","100.64.0.2","45358","172.26.191.172","8081","0","1","7077"
"05:22:19.436849","0.409870000","0.409870000","95","52","100.64.0.2","45358","172.26.191.172","8081","0","1","7321"
"05:22:19.438278","0.411299000","0.411299000","96","296","172.26.191.172","8081","100.64.0.2","45358","244","13665","1"
"05:22:19.438322","0.411343000","0.411343000","97","296","172.26.191.172","8081","100.64.0.2","45358","244","13909","1"
"05:22:19.441130","0.414151000","0.414151000","98","296","172.26.191.172","8081","100.64.0.2","45358","244","14153","1"
"05:22:19.441174","0.414195000","0.414195000","99","296","172.26.191.172","8081","100.64.0.2","45358","244","14397","1"
