_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"09:32:09.105150","0.000000000",,"1","70","100.64.0.2",,"8.8.8.8",,,,
"09:32:09.105174","0.000024000",,"2","70","100.64.0.2",,"8.8.8.8",,,,
"09:32:09.109361","0.004211000",,"3","123","8.8.8.8",,"100.64.0.2",,,,
"09:32:09.110593","0.005443000",,"4","86","8.8.8.8",,"100.64.0.2",,,,
"09:32:09.226078","0.120928000","0.000000000","5","60","100.64.0.2","48020","172.26.191.172","100","0","0","0"
"09:32:09.226637","0.121487000","0.000559000","6","60","172.26.191.172","100","100.64.0.2","48020","0","0","1"
"09:32:09.345805","0.240655000","0.119727000","7","52","100.64.0.2","48020","172.26.191.172","100","0","1","1"
"09:32:09.345828","0.240678000","0.119750000","8","100","100.64.0.2","48020","172.26.191.172","100","48","1","1"
"09:32:09.345836","0.240686000","0.119758000","9","100","100.64.0.2","48020","172.26.191.172","100","48","49","1"
"09:32:09.345844","0.240694000","0.119766000","10","100","100.64.0.2","48020","172.26.191.172","100","48","97","1"
"09:32:09.345852","0.240702000","0.119774000","11","55","100.64.0.2","48020","172.26.191.172","100","3","145","1"
"09:32:09.346550","0.241400000","0.120472000","12","52","172.26.191.172","100","100.64.0.2","48020","0","1","97"
"09:32:09.346581","0.241431000","0.120503000","13","52","172.26.191.172","100","100.64.0.2","48020","0","1","145"
"09:32:09.346614","0.241464000","0.120536000","14","52","172.26.191.172","100","100.64.0.2","48020","0","1","148"
"09:32:09.348597","0.243447000","0.122519000","15","248","172.26.191.172","100","100.64.0.2","48020","196","1","148"
"09:32:09.348630","0.243480000","0.122552000","16","296","172.26.191.172","100","100.64.0.2","48020","244","197","148"
"09:32:09.348695","0.243545000","0.122617000","17","296","172.26.191.172","100","100.64.0.2","48020","244","441","148"
"09:32:09.348714","0.243564000","0.122636000","18","296","172.26.191.172","100","100.64.0.2","48020","244","685","148"
"09:32:09.348753","0.243603000","0.122675000","19","296","172.26.191.172","100","100.64.0.2","48020","244","929","148"
"09:32:09.348772","0.243622000","0.122694000","20","296","172.26.191.172","100","100.64.0.2","48020","244","1173","148"
"09:32:09.348811","0.243661000","0.122733000","21","296","172.26.191.172","100","100.64.0.2","48020","244","1417","148"
"09:32:09.348827","0.243677000","0.122749000","22","296","172.26.191.172","100","100.64.0.2","48020","244","1661","148"
"09:32:09.348864","0.243714000","0.122786000","23","296","172.26.191.172","100","100.64.0.2","48020","244","1905","148"
"09:32:09.348886","0.243736000","0.122808000","24","296","172.26.191.172","100","100.64.0.2","48020","244","2149","148"
