_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"07:11:11,027330","0.000000000","0.000000000","1","60","100.64.0.2","34010","54.254.209.251","2500","0","0","0"
"07:11:11,030434","0.003104000","0.003104000","2","60","54.254.209.251","2500","100.64.0.2","34010","0","0","1"
"07:11:11,087909","0.060579000",,"3","76",,,,,,,
"07:11:11,214472","0.187142000","0.187142000","4","52","100.64.0.2","34010","54.254.209.251","2500","0","1","1"
"07:11:11,214492","0.187162000","0.187162000","5","89","100.64.0.2","34010","54.254.209.251","2500","37","1","1"
"07:11:11,217223","0.189893000","0.189893000","6","52","54.254.209.251","2500","100.64.0.2","34010","0","1","38"
"07:11:11,217254","0.189924000","0.189924000","7","53","54.254.209.251","2500","100.64.0.2","34010","1","1","38"
"07:11:11,401513","0.374183000","0.374183000","8","52","100.64.0.2","34010","54.254.209.251","2500","0","38","2"
"07:11:11,401532","0.374202000","0.374202000","9","56","100.64.0.2","34010","54.254.209.251","2500","4","38","2"
"07:11:11,401542","0.374212000","0.374212000","10","100","100.64.0.2","34010","54.254.209.251","2500","48","42","2"
"07:11:11,401550","0.374220000","0.374220000","11","100","100.64.0.2","34010","54.254.209.251","2500","48","90","2"
"07:11:11,401558","0.374228000","0.374228000","12","100","100.64.0.2","34010","54.254.209.251","2500","48","138","2"
"07:11:11,405050","0.377720000","0.377720000","13","52","54.254.209.251","2500","100.64.0.2","34010","0","2","186"
"07:11:11,567933","0.540603000",,"14","76",,,,,,,
"07:11:11,590021","0.562691000","0.562691000","15","54","100.64.0.2","34010","54.254.209.251","2500","2","186","2"
"07:11:11,592889","0.565559000","0.565559000","16","53","54.254.209.251","2500","100.64.0.2","34010","1","2","188"
"07:11:11,777298","0.749968000","0.000000000","17","60","100.64.0.2","34020","54.254.209.251","2500","0","0","0"
"07:11:11,777319","0.749989000","0.749989000","18","52","100.64.0.2","34010","54.254.209.251","2500","0","188","3"
"07:11:11,780606","0.753276000","0.003308000","19","60","54.254.209.251","2500","100.64.0.2","34020","0","0","1"
"07:11:11,964533","0.937203000","0.187235000","20","52","100.64.0.2","34020","54.254.209.251","2500","0","1","1"
"07:11:11,964544","0.937214000","0.187246000","21","89","100.64.0.2","34020","54.254.209.251","2500","37","1","1"
"07:11:11,967501","0.940171000","0.190203000","22","52","54.254.209.251","2500","100.64.0.2","34020","0","1","38"
"07:11:11,968390","0.941060000","0.941060000","23","53","54.254.209.251","2500","100.64.0.2","34010","1","3","188"
"07:11:11,968493","0.941163000","0.191195000","24","140","54.254.209.251","2500","100.64.0.2","34020","88","1","38"
"07:11:11,968509","0.941179000","0.191211000","25","140","54.254.209.251","2500","100.64.0.2","34020","88","89","38"
"07:11:11,969217","0.941887000","0.191919000","26","140","54.254.209.251","2500","100.64.0.2","34020","88","177","38"
"07:11:11,969237","0.941907000","0.191939000","27","140","54.254.209.251","2500","100.64.0.2","34020","88","265","38"
"07:11:11,969259","0.941929000","0.191961000","28","140","54.254.209.251","2500","100.64.0.2","34020","88","353","38"
"07:11:11,969265","0.941935000","0.191967000","29","140","54.254.209.251","2500","100.64.0.2","34020","88","441","38"
"07:11:11,969285","0.941955000","0.191987000","30","140","54.254.209.251","2500","100.64.0.2","34020","88","529","38"
"07:11:11,969292","0.941962000","0.191994000","31","140","54.254.209.251","2500","100.64.0.2","34020","88","617","38"
"07:11:11,969311","0.941981000","0.192013000","32","140","54.254.209.251","2500","100.64.0.2","34020","88","705","38"
"07:11:11,969317","0.941987000","0.192019000","33","140","54.254.209.251","2500","100.64.0.2","34020","88","793","38"
"07:11:12,151347","1.124017000","1.124017000","34","52","100.64.0.2","34010","54.254.209.251","2500","0","188","4"
"07:11:12,151350","1.124020000","0.374052000","35","52","100.64.0.2","34020","54.254.209.251","2500","0","38","89"
"07:11:12,151352","1.124022000","0.374054000","36","52","100.64.0.2","34020","54.254.209.251","2500","0","38","177"
"07:11:12,151353","1.124023000","0.374055000","37","52","100.64.0.2","34020","54.254.209.251","2500","0","38","265"
"07:11:12,151354","1.124024000","0.374056000","38","52","100.64.0.2","34020","54.254.209.251","2500","0","38","353"
"07:11:12,151356","1.124026000","0.374058000","39","52","100.64.0.2","34020","54.254.209.251","2500","0","38","441"
"07:11:12,151357","1.124027000","0.374059000","40","52","100.64.0.2","34020","54.254.209.251","2500","0","38","529"
"07:11:12,151358","1.124028000","0.374060000","41","52","100.64.0.2","34020","54.254.209.251","2500","0","38","617"
"07:11:12,151360","1.124030000","0.374062000","42","52","100.64.0.2","34020","54.254.209.251","2500","0","38","705"
"07:11:12,151361","1.124031000","0.374063000","43","52","100.64.0.2","34020","54.254.209.251","2500","0","38","793"
"07:11:12,153778","1.126448000","1.126448000","44","53","54.254.209.251","2500","100.64.0.2","34010","1","4","188"
"07:11:12,153987","1.126657000","0.376689000","45","140","54.254.209.251","2500","100.64.0.2","34020","88","881","38"
"07:11:12,153992","1.126662000","0.376694000","46","140","54.254.209.251","2500","100.64.0.2","34020","88","969","38"
"07:11:12,153998","1.126668000","0.376700000","47","140","54.254.209.251","2500","100.64.0.2","34020","88","1057","38"
"07:11:12,154000","1.126670000","0.376702000","48","140","54.254.209.251","2500","100.64.0.2","34020","88","1145","38"
"07:11:12,154124","1.126794000","0.376826000","49","140","54.254.209.251","2500","100.64.0.2","34020","88","1233","38"
"07:11:12,154129","1.126799000","0.376831000","50","140","54.254.209.251","2500","100.64.0.2","34020","88","1321","38"
"07:11:12,154134","1.126804000","0.376836000","51","140","54.254.209.251","2500","100.64.0.2","34020","88","1409","38"
"07:11:12,154136","1.126806000","0.376838000","52","140","54.254.209.251","2500","100.64.0.2","34020","88","1497","38"
"07:11:12,154141","1.126811000","0.376843000","53","140","54.254.209.251","2500","100.64.0.2","34020","88","1585","38"
"07:11:12,154142","1.126812000","0.376844000","54","140","54.254.209.251","2500","100.64.0.2","34020","88","1673","38"
"07:11:12,154314","1.126984000","0.377016000","55","140","54.254.209.251","2500","100.64.0.2","34020","88","1761","38"
"07:11:12,154318","1.126988000","0.377020000","56","140","54.254.209.251","2500","100.64.0.2","34020","88","1849","38"
"07:11:12,154324","1.126994000","0.377026000","57","140","54.254.209.251","2500","100.64.0.2","34020","88","1937","38"
"07:11:12,154326","1.126996000","0.377028000","58","140","54.254.209.251","2500","100.64.0.2","34020","88","2025","38"
"07:11:12,154330","1.127000000","0.377032000","59","140","54.254.209.251","2500","100.64.0.2","34020","88","2113","38"
"07:11:12,154332","1.127002000","0.377034000","60","140","54.254.209.251","2500","100.64.0.2","34020","88","2201","38"
"07:11:12,154337","1.127007000","0.377039000","61","140","54.254.209.251","2500","100.64.0.2","34020","88","2289","38"
"07:11:12,154338","1.127008000","0.377040000","62","140","54.254.209.251","2500","100.64.0.2","34020","88","2377","38"
"07:11:12,214469","1.187139000","0.437171000","63","52","100.64.0.2","34020","54.254.209.251","2500","0","38","881"
"07:11:12,217093","1.189763000","0.439795000","64","140","54.254.209.251","2500","100.64.0.2","34020","88","2465","38"
"07:11:12,217098","1.189768000","0.439800000","65","140","54.254.209.251","2500","100.64.0.2","34020","88","2553","38"
"07:11:12,339703","1.312373000","1.312373000","66","52","100.64.0.2","34010","54.254.209.251","2500","0","188","5"
"07:11:12,339748","1.312418000","0.562450000","67","52","100.64.0.2","34020","54.254.209.251","2500","0","38","969"
"07:11:12,339757","1.312427000","0.562459000","68","52","100.64.0.2","34020","54.254.209.251","2500","0","38","1057"
"07:11:12,339766","1.312436000","0.562468000","69","52","100.64.0.2","34020","54.254.209.251","2500","0","38","1233"
"07:11:12,339775","1.312445000","0.562477000","70","52","100.64.0.2","34020","54.254.209.251","2500","0","38","1409"
"07:11:12,339783","1.312453000","0.562485000","71","52","100.64.0.2","34020","54.254.209.251","2500","0","38","1673"
"07:11:12,339791","1.312461000","0.562493000","72","52","100.64.0.2","34020","54.254.209.251","2500","0","38","1761"
"07:11:12,342445","1.315115000","0.565147000","73","140","54.254.209.251","2500","100.64.0.2","34020","88","2641","38"
"07:11:12,342472","1.315142000","0.565174000","74","140","54.254.209.251","2500","100.64.0.2","34020","88","2729","38"
"07:11:12,342505","1.315175000","0.565207000","75","140","54.254.209.251","2500","100.64.0.2","34020","88","2817","38"
"07:11:12,342514","1.315184000","0.565216000","76","140","54.254.209.251","2500","100.64.0.2","34020","88","2905","38"
"07:11:12,342544","1.315214000","0.565246000","77","140","54.254.209.251","2500","100.64.0.2","34020","88","2993","38"
"07:11:12,342552","1.315222000","0.565254000","78","140","54.254.209.251","2500","100.64.0.2","34020","88","3081","38"
"07:11:12,342581","1.315251000","0.565283000","79","140","54.254.209.251","2500","100.64.0.2","34020","88","3169","38"
"07:11:12,342590","1.315260000","0.565292000","80","140","54.254.209.251","2500","100.64.0.2","34020","88","3257","38"
"07:11:12,342746","1.315416000","0.565448000","81","140","54.254.209.251","2500","100.64.0.2","34020","88","3345","38"
"07:11:12,342769","1.315439000","0.565471000","82","140","54.254.209.251","2500","100.64.0.2","34020","88","3433","38"
"07:11:12,342802","1.315472000","0.565504000","83","140","54.254.209.251","2500","100.64.0.2","34020","88","3521","38"
"07:11:12,342811","1.315481000","0.565513000","84","140","54.254.209.251","2500","100.64.0.2","34020","88","3609","38"
"07:11:12,342840","1.315510000","0.565542000","85","140","54.254.209.251","2500","100.64.0.2","34020","88","3697","38"
"07:11:12,342848","1.315518000","0.565550000","86","140","54.254.209.251","2500","100.64.0.2","34020","88","3785","38"
"07:11:12,342878","1.315548000","0.565580000","87","140","54.254.209.251","2500","100.64.0.2","34020","88","3873","38"
"07:11:12,342886","1.315556000","0.565588000","88","140","54.254.209.251","2500","100.64.0.2","34020","88","3961","38"
"07:11:12,342915","1.315585000","0.565617000","89","140","54.254.209.251","2500","100.64.0.2","34020","88","4049","38"
"07:11:12,342924","1.315594000","0.565626000","90","140","54.254.209.251","2500","100.64.0.2","34020","88","4137","38"
"07:11:12,342952","1.315622000","0.565654000","91","140","54.254.209.251","2500","100.64.0.2","34020","88","4225","38"
"07:11:12,342962","1.315632000","0.565664000","92","140","54.254.209.251","2500","100.64.0.2","34020","88","4313","38"
"07:11:12,401926","1.374596000","0.624628000","93","52","100.64.0.2","34020","54.254.209.251","2500","0","38","2641"
"07:11:12,404578","1.377248000","0.627280000","94","140","54.254.209.251","2500","100.64.0.2","34020","88","4401","38"
"07:11:12,404607","1.377277000","0.627309000","95","140","54.254.209.251","2500","100.64.0.2","34020","88","4489","38"
"07:11:12,404643","1.377313000","0.627345000","96","140","54.254.209.251","2500","100.64.0.2","34020","88","4577","38"
"07:11:12,404652","1.377322000","0.627354000","97","140","54.254.209.251","2500","100.64.0.2","34020","88","4665","38"
"07:11:12,404681","1.377351000","0.627383000","98","140","54.254.209.251","2500","100.64.0.2","34020","88","4753","38"
"07:11:12,404695","1.377365000","0.627397000","99","140","54.254.209.251","2500","100.64.0.2","34020","88","4841","38"
"07:11:12,404787","1.377457000","0.627489000","100","140","54.254.209.251","2500","100.64.0.2","34020","88","4929","38"
"07:11:12,404806","1.377476000","0.627508000","101","140","54.254.209.251","2500","100.64.0.2","34020","88","5017","38"
"07:11:12,404835","1.377505000","0.627537000","102","140","54.254.209.251","2500","100.64.0.2","34020","88","5105","38"
"07:11:12,404844","1.377514000","0.627546000","103","140","54.254.209.251","2500","100.64.0.2","34020","88","5193","38"
"07:11:12,404873","1.377543000","0.627575000","104","140","54.254.209.251","2500","100.64.0.2","34020","88","5281","38"
"07:11:12,404883","1.377553000","0.627585000","105","140","54.254.209.251","2500","100.64.0.2","34020","88","5369","38"
"07:11:12,404989","1.377659000","0.627691000","106","140","54.254.209.251","2500","100.64.0.2","34020","88","5457","38"
"07:11:12,405008","1.377678000","0.627710000","107","140","54.254.209.251","2500","100.64.0.2","34020","88","5545","38"
"07:11:12,405038","1.377708000","0.627740000","108","140","54.254.209.251","2500","100.64.0.2","34020","88","5633","38"
"07:11:12,405046","1.377716000","0.627748000","109","140","54.254.209.251","2500","100.64.0.2","34020","88","5721","38"
"07:11:12,405075","1.377745000","0.627777000","110","140","54.254.209.251","2500","100.64.0.2","34020","88","5809","38"
"07:11:12,405083","1.377753000","0.627785000","111","140","54.254.209.251","2500","100.64.0.2","34020","88","5897","38"
"07:11:12,405112","1.377782000","0.627814000","112","140","54.254.209.251","2500","100.64.0.2","34020","88","5985","38"
