_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"07:08:15,719639","0.000000000","0.000000000","1","60","100.64.0.2","40610","54.254.209.251","2500","0","0","0"
"07:08:15,723221","0.003582000","0.003582000","2","60","54.254.209.251","2500","100.64.0.2","40610","0","0","1"
"07:08:15,907213","0.187574000","0.187574000","3","52","100.64.0.2","40610","54.254.209.251","2500","0","1","1"
"07:08:15,907234","0.187595000","0.187595000","4","89","100.64.0.2","40610","54.254.209.251","2500","37","1","1"
"07:08:15,910315","0.190676000","0.190676000","5","52","54.254.209.251","2500","100.64.0.2","40610","0","1","38"
"07:08:15,910368","0.190729000","0.190729000","6","53","54.254.209.251","2500","100.64.0.2","40610","1","1","38"
"07:08:16,093650","0.374011000","0.374011000","7","52","100.64.0.2","40610","54.254.209.251","2500","0","38","2"
"07:08:16,093670","0.374031000","0.374031000","8","56","100.64.0.2","40610","54.254.209.251","2500","4","38","2"
"07:08:16,093679","0.374040000","0.374040000","9","100","100.64.0.2","40610","54.254.209.251","2500","48","42","2"
"07:08:16,093687","0.374048000","0.374048000","10","100","100.64.0.2","40610","54.254.209.251","2500","48","90","2"
"07:08:16,093695","0.374056000","0.374056000","11","100","100.64.0.2","40610","54.254.209.251","2500","48","138","2"
"07:08:16,097751","0.378112000","0.378112000","12","52","54.254.209.251","2500","100.64.0.2","40610","0","2","186"
"07:08:16,239904","0.520265000",,"13","76",,,,,,,
"07:08:16,281870","0.562231000","0.562231000","14","53","100.64.0.2","40610","54.254.209.251","2500","1","186","2"
"07:08:16,284959","0.565320000","0.565320000","15","53","54.254.209.251","2500","100.64.0.2","40610","1","2","187"
"07:08:16,469241","0.749602000","0.000000000","16","60","100.64.0.2","40614","54.254.209.251","2500","0","0","0"
"07:08:16,469264","0.749625000","0.749625000","17","52","100.64.0.2","40610","54.254.209.251","2500","0","187","3"
"07:08:16,472501","0.752862000","0.003260000","18","60","54.254.209.251","2500","100.64.0.2","40614","0","0","1"
"07:08:16,656584","0.936945000","0.187343000","19","52","100.64.0.2","40614","54.254.209.251","2500","0","1","1"
"07:08:16,656604","0.936965000","0.187363000","20","89","100.64.0.2","40614","54.254.209.251","2500","37","1","1"
"07:08:16,659742","0.940103000","0.190501000","21","52","54.254.209.251","2500","100.64.0.2","40614","0","1","38"
"07:08:16,661964","0.942325000","0.192723000","22","140","54.254.209.251","2500","100.64.0.2","40614","88","1","38"
"07:08:16,661997","0.942358000","0.192756000","23","140","54.254.209.251","2500","100.64.0.2","40614","88","89","38"
"07:08:16,662024","0.942385000","0.942385000","24","53","54.254.209.251","2500","100.64.0.2","40610","1","3","187"
"07:08:16,662636","0.942997000","0.193395000","25","140","54.254.209.251","2500","100.64.0.2","40614","88","177","38"
"07:08:16,662669","0.943030000","0.193428000","26","140","54.254.209.251","2500","100.64.0.2","40614","88","265","38"
"07:08:16,662702","0.943063000","0.193461000","27","140","54.254.209.251","2500","100.64.0.2","40614","88","353","38"
"07:08:16,662712","0.943073000","0.193471000","28","140","54.254.209.251","2500","100.64.0.2","40614","88","441","38"
"07:08:16,662742","0.943103000","0.193501000","29","140","54.254.209.251","2500","100.64.0.2","40614","88","529","38"
"07:08:16,662750","0.943111000","0.193509000","30","140","54.254.209.251","2500","100.64.0.2","40614","88","617","38"
"07:08:16,662780","0.943141000","0.193539000","31","140","54.254.209.251","2500","100.64.0.2","40614","88","705","38"
"07:08:16,662789","0.943150000","0.193548000","32","140","54.254.209.251","2500","100.64.0.2","40614","88","793","38"
"07:08:16,843917","1.124278000","0.374676000","33","52","100.64.0.2","40614","54.254.209.251","2500","0","38","89"
"07:08:16,843921","1.124282000","0.374680000","34","52","100.64.0.2","40614","54.254.209.251","2500","0","38","177"
"07:08:16,843939","1.124300000","1.124300000","35","52","100.64.0.2","40610","54.254.209.251","2500","0","187","4"
"07:08:16,843940","1.124301000","0.374699000","36","52","100.64.0.2","40614","54.254.209.251","2500","0","38","265"
"07:08:16,843942","1.124303000","0.374701000","37","52","100.64.0.2","40614","54.254.209.251","2500","0","38","353"
"07:08:16,843944","1.124305000","0.374703000","38","52","100.64.0.2","40614","54.254.209.251","2500","0","38","441"
"07:08:16,843945","1.124306000","0.374704000","39","52","100.64.0.2","40614","54.254.209.251","2500","0","38","529"
"07:08:16,843947","1.124308000","0.374706000","40","52","100.64.0.2","40614","54.254.209.251","2500","0","38","617"
"07:08:16,843948","1.124309000","0.374707000","41","52","100.64.0.2","40614","54.254.209.251","2500","0","38","705"
"07:08:16,843950","1.124311000","0.374709000","42","52","100.64.0.2","40614","54.254.209.251","2500","0","38","793"
"07:08:16,846495","1.126856000","0.377254000","43","140","54.254.209.251","2500","100.64.0.2","40614","88","881","38"
"07:08:16,846501","1.126862000","0.377260000","44","140","54.254.209.251","2500","100.64.0.2","40614","88","969","38"
