_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"08:21:51.365865","0.000000000",,"1","76",,,,,,,
"08:21:51.610142","0.244277000",,"2","76",,,,,,,
"08:21:54.810017","3.444152000",,"3","48",,,,,,,
"08:22:02.489868","11.124003000",,"4","48",,,,,,,
"08:22:06.159009","14.793144000",,"5","65","100.64.0.2",,"100.64.0.1",,,,
"08:22:06.162418","14.796553000",,"6","81","100.64.0.1",,"100.64.0.2",,,,
"08:22:06.345698","14.979833000","0.000000000","7","60","100.64.0.2","57864","172.217.194.84","443","0","0","0"
"08:22:06.351053","14.985188000","0.005355000","8","60","172.217.194.84","443","100.64.0.2","57864","0","0","1"
"08:22:06.407875","15.042010000","0.000000000","9","60","100.64.0.2","57874","172.217.194.84","443","0","0","0"
"08:22:06.413335","15.047470000","0.005460000","10","60","172.217.194.84","443","100.64.0.2","57874","0","0","1"
"08:22:06.532346","15.166481000","0.186648000","11","52","100.64.0.2","57864","172.217.194.84","443","0","1","1"
"08:22:06.595825","15.229960000","0.250127000","12","100","100.64.0.2","57864","172.217.194.84","443","48","1","1"
"08:22:06.595850","15.229985000","0.250152000","13","100","100.64.0.2","57864","172.217.194.84","443","48","49","1"
"08:22:06.595859","15.229994000","0.250161000","14","100","100.64.0.2","57864","172.217.194.84","443","48","97","1"
"08:22:06.595867","15.230002000","0.250169000","15","100","100.64.0.2","57864","172.217.194.84","443","48","145","1"
"08:22:06.595875","15.230010000","0.250177000","16","100","100.64.0.2","57864","172.217.194.84","443","48","193","1"
"08:22:06.595883","15.230018000","0.250185000","17","100","100.64.0.2","57864","172.217.194.84","443","48","241","1"
"08:22:06.595891","15.230026000","0.250193000","18","100","100.64.0.2","57864","172.217.194.84","443","48","289","1"
"08:22:06.595900","15.230035000","0.250202000","19","100","100.64.0.2","57864","172.217.194.84","443","48","337","1"
"08:22:06.595910","15.230045000","0.250212000","20","100","100.64.0.2","57864","172.217.194.84","443","48","385","1"
"08:22:06.595918","15.230053000","0.250220000","21","100","100.64.0.2","57864","172.217.194.84","443","48","433","1"
"08:22:06.595927","15.230062000","0.188052000","22","52","100.64.0.2","57874","172.217.194.84","443","0","1","1"
"08:22:06.595935","15.230070000","0.188060000","23","100","100.64.0.2","57874","172.217.194.84","443","48","1","1"
"08:22:06.595944","15.230079000","0.188069000","24","100","100.64.0.2","57874","172.217.194.84","443","48","49","1"
"08:22:06.595952","15.230087000","0.188077000","25","100","100.64.0.2","57874","172.217.194.84","443","48","97","1"
"08:22:06.600685","15.234820000","0.254987000","26","52","172.217.194.84","443","100.64.0.2","57864","0","1","49"
"08:22:06.600721","15.234856000","0.255023000","27","52","172.217.194.84","443","100.64.0.2","57864","0","1","97"
"08:22:06.600730","15.234865000","0.255032000","28","52","172.217.194.84","443","100.64.0.2","57864","0","1","145"
"08:22:06.600738","15.234873000","0.255040000","29","52","172.217.194.84","443","100.64.0.2","57864","0","1","193"
"08:22:06.600745","15.234880000","0.255047000","30","52","172.217.194.84","443","100.64.0.2","57864","0","1","241"
"08:22:06.600752","15.234887000","0.255054000","31","52","172.217.194.84","443","100.64.0.2","57864","0","1","337"
"08:22:06.600760","15.234895000","0.255062000","32","52","172.217.194.84","443","100.64.0.2","57864","0","1","433"
"08:22:06.600768","15.234903000","0.255070000","33","52","172.217.194.84","443","100.64.0.2","57864","0","1","481"
"08:22:06.601934","15.236069000","0.194059000","34","52","172.217.194.84","443","100.64.0.2","57874","0","1","49"
"08:22:06.601966","15.236101000","0.194091000","35","64","172.217.194.84","443","100.64.0.2","57874","0","1","49"
"08:22:06.658162","15.292297000","0.250287000","36","100","100.64.0.2","57874","172.217.194.84","443","48","145","1"
"08:22:06.658185","15.292320000","0.250310000","37","100","100.64.0.2","57874","172.217.194.84","443","48","193","1"
