_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"08:18:21.823167","0.000000000",,"1","76",,,,,,,
"08:18:21.823179","0.000012000",,"2","48",,,,,,,
"08:18:21.833852","0.010685000",,"3","76",,,,,,,
"08:18:21.996615","0.173448000",,"4","61","100.64.0.2",,"100.64.0.1",,,,
"08:18:21.996757","0.173590000",,"5","61","100.64.0.2",,"100.64.0.1",,,,
"08:18:22.001622","0.178455000",,"6","351","100.64.0.1",,"100.64.0.2",,,,
"08:18:22.001651","0.178484000",,"7","207","100.64.0.1",,"100.64.0.2",,,,
"08:18:22.182851","0.359684000","0.000000000","8","60","100.64.0.2","57510","172.217.194.93","443","0","0","0"
"08:18:22.188290","0.365123000","0.005439000","9","60","172.217.194.93","443","100.64.0.2","57510","0","0","1"
"08:18:22.234081","0.410914000",,"10","76",,,,,,,
"08:18:22.370786","0.547619000","0.187935000","11","52","100.64.0.2","57510","172.217.194.93","443","0","1","1"
"08:18:22.370809","0.547642000","0.187958000","12","100","100.64.0.2","57510","172.217.194.93","443","48","1","1"
"08:18:22.370819","0.547652000","0.187968000","13","100","100.64.0.2","57510","172.217.194.93","443","48","49","1"
"08:18:22.370827","0.547660000","0.187976000","14","100","100.64.0.2","57510","172.217.194.93","443","48","97","1"
"08:18:22.370835","0.547668000","0.187984000","15","100","100.64.0.2","57510","172.217.194.93","443","48","145","1"
"08:18:22.370842","0.547675000","0.187991000","16","100","100.64.0.2","57510","172.217.194.93","443","48","193","1"
"08:18:22.370850","0.547683000","0.187999000","17","100","100.64.0.2","57510","172.217.194.93","443","48","241","1"
"08:18:22.370857","0.547690000","0.188006000","18","100","100.64.0.2","57510","172.217.194.93","443","48","289","1"
"08:18:22.370865","0.547698000","0.188014000","19","100","100.64.0.2","57510","172.217.194.93","443","48","337","1"
"08:18:22.370875","0.547708000","0.188024000","20","63","100.64.0.2","57510","172.217.194.93","443","11","385","1"
"08:18:22.377787","0.554620000","0.194936000","21","52","172.217.194.93","443","100.64.0.2","57510","0","1","49"
"08:18:22.377812","0.554645000","0.194961000","22","52","172.217.194.93","443","100.64.0.2","57510","0","1","97"
"08:18:22.377820","0.554653000","0.194969000","23","52","172.217.194.93","443","100.64.0.2","57510","0","1","193"
"08:18:22.377828","0.554661000","0.194977000","24","52","172.217.194.93","443","100.64.0.2","57510","0","1","241"
"08:18:22.377835","0.554668000","0.194984000","25","52","172.217.194.93","443","100.64.0.2","57510","0","1","289"
"08:18:22.377851","0.554684000","0.195000000","26","52","172.217.194.93","443","100.64.0.2","57510","0","1","385"
"08:18:22.377860","0.554693000","0.195009000","27","52","172.217.194.93","443","100.64.0.2","57510","0","1","396"
"08:18:22.379088","0.555921000","0.196237000","28","296","172.217.194.93","443","100.64.0.2","57510","244","1","396"
"08:18:22.379118","0.555951000","0.196267000","29","296","172.217.194.93","443","100.64.0.2","57510","244","245","396"
"08:18:22.379127","0.555960000","0.196276000","30","296","172.217.194.93","443","100.64.0.2","57510","244","489","396"
"08:18:22.379135","0.555968000","0.196284000","31","296","172.217.194.93","443","100.64.0.2","57510","244","733","396"
"08:18:22.379144","0.555977000","0.196293000","32","296","172.217.194.93","443","100.64.0.2","57510","244","977","396"
"08:18:22.379152","0.555985000","0.196301000","33","296","172.217.194.93","443","100.64.0.2","57510","244","1221","396"
"08:18:22.379160","0.555993000","0.196309000","34","296","172.217.194.93","443","100.64.0.2","57510","244","1465","396"
"08:18:22.379168","0.556001000","0.196317000","35","296","172.217.194.93","443","100.64.0.2","57510","244","1709","396"
"08:18:22.379176","0.556009000","0.196325000","36","296","172.217.194.93","443","100.64.0.2","57510","244","1953","396"
"08:18:22.379183","0.556016000","0.196332000","37","296","172.217.194.93","443","100.64.0.2","57510","244","2197","396"
"08:18:22.557759","0.734592000","0.374908000","38","52","100.64.0.2","57510","172.217.194.93","443","0","396","245"
"08:18:22.557786","0.734619000","0.374935000","39","52","100.64.0.2","57510","172.217.194.93","443","0","396","489"
"08:18:22.557795","0.734628000","0.374944000","40","52","100.64.0.2","57510","172.217.194.93","443","0","396","733"
"08:18:22.562855","0.739688000","0.380004000","41","296","172.217.194.93","443","100.64.0.2","57510","244","2441","396"
"08:18:22.566112","0.742945000","0.383261000","42","296","172.217.194.93","443","100.64.0.2","57510","244","2685","396"
"08:18:22.572700","0.749533000","0.389849000","43","296","172.217.194.93","443","100.64.0.2","57510","244","2929","396"
"08:18:22.579294","0.756127000","0.396443000","44","296","172.217.194.93","443","100.64.0.2","57510","244","3173","396"
"08:18:22.586139","0.762972000","0.403288000","45","296","172.217.194.93","443","100.64.0.2","57510","244","3417","396"
"08:18:22.592486","0.769319000","0.409635000","46","296","172.217.194.93","443","100.64.0.2","57510","244","3661","396"
"08:18:22.620991","0.797824000","0.438140000","47","52","100.64.0.2","57510","172.217.194.93","443","0","396","977"
"08:18:22.621012","0.797845000","0.438161000","48","52","100.64.0.2","57510","172.217.194.93","443","0","396","1221"
"08:18:22.621020","0.797853000","0.438169000","49","52","100.64.0.2","57510","172.217.194.93","443","0","396","1465"
"08:18:22.621029","0.797862000","0.438178000","50","52","100.64.0.2","57510","172.217.194.93","443","0","396","1709"
"08:18:22.625943","0.802776000","0.443092000","51","296","172.217.194.93","443","100.64.0.2","57510","244","3905","396"
