_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"06:51:07,219780","0.000000000",,"1","76",,,,,,,
"06:51:07,277101","0.057321000","0.000000000","2","60","100.64.0.2","55776","18.142.186.24","2500","0","0","0"
"06:51:07,280024","0.060244000","0.002923000","3","60","18.142.186.24","2500","100.64.0.2","55776","0","0","1"
"06:51:07,397891","0.178111000","0.120790000","4","52","100.64.0.2","55776","18.142.186.24","2500","0","1","1"
"06:51:07,397910","0.178130000","0.120809000","5","89","100.64.0.2","55776","18.142.186.24","2500","37","1","1"
"06:51:07,407392","0.187612000","0.130291000","6","52","18.142.186.24","2500","100.64.0.2","55776","0","1","38"
"06:51:07,407423","0.187643000","0.130322000","7","53","18.142.186.24","2500","100.64.0.2","55776","1","1","38"
"06:51:07,503825","0.284045000",,"8","76",,,,,,,
"06:51:07,517755","0.297975000","0.240654000","9","52","100.64.0.2","55776","18.142.186.24","2500","0","38","2"
"06:51:07,517774","0.297994000","0.240673000","10","56","100.64.0.2","55776","18.142.186.24","2500","4","38","2"
"06:51:07,517783","0.298003000","0.240682000","11","100","100.64.0.2","55776","18.142.186.24","2500","48","42","2"
"06:51:07,517791","0.298011000","0.240690000","12","100","100.64.0.2","55776","18.142.186.24","2500","48","90","2"
"06:51:07,521592","0.301812000","0.244491000","13","52","18.142.186.24","2500","100.64.0.2","55776","0","2","138"
"06:51:07,599899","0.380119000",,"14","76",,,,,,,
"06:51:07,637519","0.417739000","0.360418000","15","90","100.64.0.2","55776","18.142.186.24","2500","38","138","2"
"06:51:07,640144","0.420364000","0.363043000","16","53","18.142.186.24","2500","100.64.0.2","55776","1","2","176"
"06:51:07,758279","0.538499000","0.000000000","17","60","100.64.0.2","55778","18.142.186.24","2500","0","0","0"
"06:51:07,759899","0.540119000",,"18","76",,,,,,,
"06:51:07,761545","0.541765000","0.003266000","19","60","18.142.186.24","2500","100.64.0.2","55778","0","0","1"
"06:51:07,794420","0.574640000","0.517319000","20","52","100.64.0.2","55776","18.142.186.24","2500","0","176","3"
"06:51:07,878542","0.658762000","0.120263000","21","52","100.64.0.2","55778","18.142.186.24","2500","0","1","1"
"06:51:07,878561","0.658781000","0.120282000","22","89","100.64.0.2","55778","18.142.186.24","2500","37","1","1"
"06:51:07,881471","0.661691000","0.123192000","23","52","18.142.186.24","2500","100.64.0.2","55778","0","1","38"
"06:51:07,881943","0.662163000","0.604842000","24","53","18.142.186.24","2500","100.64.0.2","55776","1","3","176"
"06:51:07,882553","0.662773000","0.124274000","25","296","18.142.186.24","2500","100.64.0.2","55778","244","1","38"
"06:51:07,882581","0.662801000","0.124302000","26","296","18.142.186.24","2500","100.64.0.2","55778","244","245","38"
"06:51:07,883246","0.663466000","0.124967000","27","296","18.142.186.24","2500","100.64.0.2","55778","244","489","38"
"06:51:07,883272","0.663492000","0.124993000","28","296","18.142.186.24","2500","100.64.0.2","55778","244","733","38"
"06:51:07,883306","0.663526000","0.125027000","29","296","18.142.186.24","2500","100.64.0.2","55778","244","977","38"
"06:51:07,883315","0.663535000","0.125036000","30","296","18.142.186.24","2500","100.64.0.2","55778","244","1221","38"
"06:51:07,883346","0.663566000","0.125067000","31","296","18.142.186.24","2500","100.64.0.2","55778","244","1465","38"
"06:51:07,883356","0.663576000","0.125077000","32","296","18.142.186.24","2500","100.64.0.2","55778","244","1709","38"
"06:51:07,883385","0.663605000","0.125106000","33","296","18.142.186.24","2500","100.64.0.2","55778","244","1953","38"
"06:51:07,883395","0.663615000","0.125116000","34","296","18.142.186.24","2500","100.64.0.2","55778","244","2197","38"
"06:51:07,999746","0.779966000","0.722645000","35","52","100.64.0.2","55776","18.142.186.24","2500","0","176","4"
"06:51:07,999749","0.779969000","0.241470000","36","52","100.64.0.2","55778","18.142.186.24","2500","0","38","245"
"06:51:07,999751","0.779971000","0.241472000","37","52","100.64.0.2","55778","18.142.186.24","2500","0","38","489"
"06:51:07,999752","0.779972000","0.241473000","38","52","100.64.0.2","55778","18.142.186.24","2500","0","38","733"
"06:51:07,999753","0.779973000","0.241474000","39","52","100.64.0.2","55778","18.142.186.24","2500","0","38","977"
"06:51:08,002017","0.782237000","0.724916000","40","53","18.142.186.24","2500","100.64.0.2","55776","1","4","176"
"06:51:08,002395","0.782615000","0.244116000","41","296","18.142.186.24","2500","100.64.0.2","55778","244","2441","38"
"06:51:08,004578","0.784798000","0.246299000","42","296","18.142.186.24","2500","100.64.0.2","55778","244","2685","38"
"06:51:08,008744","0.788964000","0.250465000","43","296","18.142.186.24","2500","100.64.0.2","55778","244","2929","38"
"06:51:08,011830","0.792050000","0.253551000","44","52","100.64.0.2","55778","18.142.186.24","2500","0","38","1221"
"06:51:08,011832","0.792052000","0.253553000","45","52","100.64.0.2","55778","18.142.186.24","2500","0","38","1465"
"06:51:08,011834","0.792054000","0.253555000","46","52","100.64.0.2","55778","18.142.186.24","2500","0","38","1709"
"06:51:08,011835","0.792055000","0.253556000","47","52","100.64.0.2","55778","18.142.186.24","2500","0","38","1953"
"06:51:08,011836","0.792056000","0.253557000","48","52","100.64.0.2","55778","18.142.186.24","2500","0","38","2197"
"06:51:08,012835","0.793055000","0.254556000","49","296","18.142.186.24","2500","100.64.0.2","55778","244","3173","38"
"06:51:08,017059","0.797279000","0.258780000","50","296","18.142.186.24","2500","100.64.0.2","55778","244","3417","38"
"06:51:08,021201","0.801421000","0.262922000","51","296","18.142.186.24","2500","100.64.0.2","55778","244","3661","38"
"06:51:08,023903","0.804123000","0.265624000","52","52","100.64.0.2","55778","18.142.186.24","2500","0","38","2441"
"06:51:08,025579","0.805799000","0.267300000","53","296","18.142.186.24","2500","100.64.0.2","55778","244","3905","38"
"06:51:08,029761","0.809981000","0.271482000","54","296","18.142.186.24","2500","100.64.0.2","55778","244","4149","38"
"06:51:08,034023","0.814243000","0.275744000","55","296","18.142.186.24","2500","100.64.0.2","55778","244","4393","38"
"06:51:08,038013","0.818233000","0.279734000","56","296","18.142.186.24","2500","100.64.0.2","55778","244","4637","38"
"06:51:08,042222","0.822442000","0.283943000","57","296","18.142.186.24","2500","100.64.0.2","55778","244","4881","38"
"06:51:08,046418","0.826638000","0.288139000","58","296","18.142.186.24","2500","100.64.0.2","55778","244","5125","38"
"06:51:08,050760","0.830980000","0.292481000","59","296","18.142.186.24","2500","100.64.0.2","55778","244","5369","38"
"06:51:08,054874","0.835094000","0.296595000","60","296","18.142.186.24","2500","100.64.0.2","55778","244","5613","38"
"06:51:08,059030","0.839250000","0.300751000","61","296","18.142.186.24","2500","100.64.0.2","55778","244","5857","38"
"06:51:08,063305","0.843525000","0.305026000","62","296","18.142.186.24","2500","100.64.0.2","55778","244","6101","38"
"06:51:08,067394","0.847614000","0.309115000","63","296","18.142.186.24","2500","100.64.0.2","55778","244","6345","38"
"06:51:08,071629","0.851849000","0.313350000","64","296","18.142.186.24","2500","100.64.0.2","55778","244","6589","38"
"06:51:08,075858","0.856078000","0.317579000","65","296","18.142.186.24","2500","100.64.0.2","55778","244","6833","38"
"06:51:08,080103","0.860323000","0.321824000","66","296","18.142.186.24","2500","100.64.0.2","55778","244","7077","38"
"06:51:08,119161","0.899381000","0.842060000","67","52","100.64.0.2","55776","18.142.186.24","2500","0","176","5"
"06:51:08,119165","0.899385000","0.360886000","68","52","100.64.0.2","55778","18.142.186.24","2500","0","38","2685"
"06:51:08,119167","0.899387000","0.360888000","69","52","100.64.0.2","55778","18.142.186.24","2500","0","38","2929"
"06:51:08,119168","0.899388000","0.360889000","70","52","100.64.0.2","55778","18.142.186.24","2500","0","38","3173"
"06:51:08,121836","0.902056000","0.363557000","71","296","18.142.186.24","2500","100.64.0.2","55778","244","7321","38"
"06:51:08,123872","0.904092000","0.365593000","72","296","18.142.186.24","2500","100.64.0.2","55778","244","7565","38"
"06:51:08,128266","0.908486000","0.369987000","73","296","18.142.186.24","2500","100.64.0.2","55778","244","7809","38"
"06:51:08,131236","0.911456000","0.372957000","74","52","100.64.0.2","55778","18.142.186.24","2500","0","38","3417"
"06:51:08,131241","0.911461000","0.372962000","75","52","100.64.0.2","55778","18.142.186.24","2500","0","38","3661"
"06:51:08,131243","0.911463000","0.372964000","76","52","100.64.0.2","55778","18.142.186.24","2500","0","38","3905"
"06:51:08,132361","0.912581000","0.374082000","77","296","18.142.186.24","2500","100.64.0.2","55778","244","8053","38"
"06:51:08,136608","0.916828000","0.378329000","78","296","18.142.186.24","2500","100.64.0.2","55778","244","8297","38"
"06:51:08,140781","0.921001000","0.382502000","79","296","18.142.186.24","2500","100.64.0.2","55778","244","8541","38"
"06:51:08,144844","0.925064000","0.386565000","80","296","18.142.186.24","2500","100.64.0.2","55778","244","8785","38"
"06:51:08,144860","0.925080000","0.386581000","81","52","100.64.0.2","55778","18.142.186.24","2500","0","38","4393"
"06:51:08,149171","0.929391000","0.390892000","82","296","18.142.186.24","2500","100.64.0.2","55778","244","9029","38"
"06:51:08,154185","0.934405000","0.395906000","83","296","18.142.186.24","2500","100.64.0.2","55778","244","9273","38"
"06:51:08,156971","0.937191000","0.398692000","84","52","100.64.0.2","55778","18.142.186.24","2500","0","38","4881"
"06:51:08,156983","0.937203000","0.398704000","85","52","100.64.0.2","55778","18.142.186.24","2500","0","38","5369"
"06:51:08,157454","0.937674000","0.399175000","86","296","18.142.186.24","2500","100.64.0.2","55778","244","9517","38"
"06:51:08,161775","0.941995000","0.403496000","87","296","18.142.186.24","2500","100.64.0.2","55778","244","9761","38"
"06:51:08,165913","0.946133000","0.407634000","88","296","18.142.186.24","2500","100.64.0.2","55778","244","10005","38"
"06:51:08,169150","0.949370000","0.410871000","89","52","100.64.0.2","55778","18.142.186.24","2500","0","38","5857"
"06:51:08,170649","0.950869000","0.412370000","90","296","18.142.186.24","2500","100.64.0.2","55778","244","10249","38"
"06:51:08,174454","0.954674000","0.416175000","91","296","18.142.186.24","2500","100.64.0.2","55778","244","10493","38"
"06:51:08,178674","0.958894000","0.420395000","92","296","18.142.186.24","2500","100.64.0.2","55778","244","10737","38"
"06:51:08,180292","0.960512000","0.422013000","93","52","100.64.0.2","55778","18.142.186.24","2500","0","38","6589"
"06:51:08,182806","0.963026000","0.424527000","94","296","18.142.186.24","2500","100.64.0.2","55778","244","10981","38"
"06:51:08,187028","0.967248000","0.428749000","95","296","18.142.186.24","2500","100.64.0.2","55778","244","11225","38"
"06:51:08,190831","0.971051000","0.432552000","96","296","18.142.186.24","2500","100.64.0.2","55778","244","11469","38"
"06:51:08,192598","0.972818000","0.434319000","97","52","100.64.0.2","55778","18.142.186.24","2500","0","38","7321"
"06:51:08,194639","0.974859000","0.436360000","98","296","18.142.186.24","2500","100.64.0.2","55778","244","11713","38"
"06:51:08,198303","0.978523000","0.440024000","99","296","18.142.186.24","2500","100.64.0.2","55778","244","11957","38"
"06:51:08,201898","0.982118000","0.443619000","100","296","18.142.186.24","2500","100.64.0.2","55778","244","12201","38"
"06:51:08,205275","0.985495000","0.446996000","101","296","18.142.186.24","2500","100.64.0.2","55778","244","12445","38"
"06:51:08,208640","0.988860000","0.450361000","102","296","18.142.186.24","2500","100.64.0.2","55778","244","12689","38"
"06:51:08,213088","0.993308000","0.454809000","103","296","18.142.186.24","2500","100.64.0.2","55778","244","12933","38"
"06:51:08,215620","0.995840000","0.457341000","104","296","18.142.186.24","2500","100.64.0.2","55778","244","13177","38"
"06:51:08,219099","0.999319000","0.460820000","105","296","18.142.186.24","2500","100.64.0.2","55778","244","13421","38"
"06:51:08,222530","1.002750000","0.464251000","106","296","18.142.186.24","2500","100.64.0.2","55778","244","13665","38"
"06:51:08,226118","1.006338000","0.467839000","107","296","18.142.186.24","2500","100.64.0.2","55778","244","13909","38"
"06:51:08,229459","1.009679000","0.471180000","108","296","18.142.186.24","2500","100.64.0.2","55778","244","14153","38"
"06:51:08,232813","1.013033000","0.474534000","109","296","18.142.186.24","2500","100.64.0.2","55778","244","14397","38"
"06:51:08,236451","1.016671000","0.478172000","110","296","18.142.186.24","2500","100.64.0.2","55778","244","14641","38"
