_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:48:06,966569","0.000000000","0.000000000","1","60","100.64.0.2","34308","18.142.186.24","2500","0","0","0"
"13:48:06,969565","0.002996000","0.002996000","2","60","18.142.186.24","2500","100.64.0.2","34308","0","0","1"
"13:48:07,087606","0.121037000","0.121037000","3","52","100.64.0.2","34308","18.142.186.24","2500","0","1","1"
"13:48:07,087626","0.121057000","0.121057000","4","89","100.64.0.2","34308","18.142.186.24","2500","37","1","1"
"13:48:07,090384","0.123815000","0.123815000","5","52","18.142.186.24","2500","100.64.0.2","34308","0","1","38"
"13:48:07,090405","0.123836000","0.123836000","6","53","18.142.186.24","2500","100.64.0.2","34308","1","1","38"
"13:48:07,207891","0.241322000","0.241322000","7","52","100.64.0.2","34308","18.142.186.24","2500","0","38","2"
"13:48:07,207910","0.241341000","0.241341000","8","56","100.64.0.2","34308","18.142.186.24","2500","4","38","2"
"13:48:07,207919","0.241350000","0.241350000","9","100","100.64.0.2","34308","18.142.186.24","2500","48","42","2"
"13:48:07,207927","0.241358000","0.241358000","10","100","100.64.0.2","34308","18.142.186.24","2500","48","90","2"
"13:48:07,207936","0.241367000","0.241367000","11","100","100.64.0.2","34308","18.142.186.24","2500","48","138","2"
"13:48:07,211536","0.244967000","0.244967000","12","52","18.142.186.24","2500","100.64.0.2","34308","0","2","186"
"13:48:07,211555","0.244986000","0.244986000","13","53","18.142.186.24","2500","100.64.0.2","34308","1","2","186"
"13:48:07,279913","0.313344000",,"14","76",,,,,,,
"13:48:07,328249","0.361680000","0.000000000","15","60","100.64.0.2","34314","18.142.186.24","2500","0","0","0"
"13:48:07,331662","0.365093000","0.003413000","16","60","18.142.186.24","2500","100.64.0.2","34314","0","0","1"
"13:48:07,364400","0.397831000","0.397831000","17","52","100.64.0.2","34308","18.142.186.24","2500","0","186","3"
"13:48:07,439933","0.473364000",,"18","76",,,,,,,
"13:48:07,448727","0.482158000","0.120478000","19","52","100.64.0.2","34314","18.142.186.24","2500","0","1","1"
"13:48:07,448747","0.482178000","0.120498000","20","89","100.64.0.2","34314","18.142.186.24","2500","37","1","1"
"13:48:07,451697","0.485128000","0.123448000","21","52","18.142.186.24","2500","100.64.0.2","34314","0","1","38"
"13:48:07,452313","0.485744000","0.485744000","22","53","18.142.186.24","2500","100.64.0.2","34308","1","3","186"
"13:48:07,452546","0.485977000","0.124297000","23","140","18.142.186.24","2500","100.64.0.2","34314","88","1","38"
"13:48:07,452743","0.486174000","0.124494000","24","140","18.142.186.24","2500","100.64.0.2","34314","88","89","38"
"13:48:07,453457","0.486888000","0.125208000","25","140","18.142.186.24","2500","100.64.0.2","34314","88","177","38"
"13:48:07,453490","0.486921000","0.125241000","26","140","18.142.186.24","2500","100.64.0.2","34314","88","265","38"
"13:48:07,453525","0.486956000","0.125276000","27","140","18.142.186.24","2500","100.64.0.2","34314","88","353","38"
"13:48:07,453534","0.486965000","0.125285000","28","140","18.142.186.24","2500","100.64.0.2","34314","88","441","38"
"13:48:07,453564","0.486995000","0.125315000","29","140","18.142.186.24","2500","100.64.0.2","34314","88","529","38"
"13:48:07,453572","0.487003000","0.125323000","30","140","18.142.186.24","2500","100.64.0.2","34314","88","617","38"
"13:48:07,453602","0.487033000","0.125353000","31","140","18.142.186.24","2500","100.64.0.2","34314","88","705","38"
"13:48:07,453611","0.487042000","0.125362000","32","140","18.142.186.24","2500","100.64.0.2","34314","88","793","38"
"13:48:07,569104","0.602535000","0.602535000","33","52","100.64.0.2","34308","18.142.186.24","2500","0","186","4"
"13:48:07,569107","0.602538000","0.240858000","34","52","100.64.0.2","34314","18.142.186.24","2500","0","38","89"
"13:48:07,569109","0.602540000","0.240860000","35","52","100.64.0.2","34314","18.142.186.24","2500","0","38","177"
"13:48:07,569113","0.602544000","0.240864000","36","52","100.64.0.2","34314","18.142.186.24","2500","0","38","265"
"13:48:07,569115","0.602546000","0.240866000","37","52","100.64.0.2","34314","18.142.186.24","2500","0","38","353"
"13:48:07,569116","0.602547000","0.240867000","38","52","100.64.0.2","34314","18.142.186.24","2500","0","38","441"
"13:48:07,569118","0.602549000","0.240869000","39","52","100.64.0.2","34314","18.142.186.24","2500","0","38","529"
"13:48:07,569119","0.602550000","0.240870000","40","52","100.64.0.2","34314","18.142.186.24","2500","0","38","617"
"13:48:07,569121","0.602552000","0.240872000","41","52","100.64.0.2","34314","18.142.186.24","2500","0","38","705"
"13:48:07,569122","0.602553000","0.240873000","42","52","100.64.0.2","34314","18.142.186.24","2500","0","38","793"
"13:48:07,571386","0.604817000","0.604817000","43","53","18.142.186.24","2500","100.64.0.2","34308","1","4","186"
"13:48:07,571539","0.604970000","0.243290000","44","140","18.142.186.24","2500","100.64.0.2","34314","88","881","38"
"13:48:07,573711","0.607142000","0.245462000","45","140","18.142.186.24","2500","100.64.0.2","34314","88","969","38"
"13:48:07,577785","0.611216000","0.249536000","46","140","18.142.186.24","2500","100.64.0.2","34314","88","1057","38"
"13:48:07,581187","0.614618000","0.252938000","47","52","100.64.0.2","34314","18.142.186.24","2500","0","38","881"
"13:48:07,581966","0.615397000","0.253717000","48","140","18.142.186.24","2500","100.64.0.2","34314","88","1145","38"
"13:48:07,586250","0.619681000","0.258001000","49","140","18.142.186.24","2500","100.64.0.2","34314","88","1233","38"
"13:48:07,590340","0.623771000","0.262091000","50","140","18.142.186.24","2500","100.64.0.2","34314","88","1321","38"
"13:48:07,594598","0.628029000","0.266349000","51","140","18.142.186.24","2500","100.64.0.2","34314","88","1409","38"
"13:48:07,598795","0.632226000","0.270546000","52","140","18.142.186.24","2500","100.64.0.2","34314","88","1497","38"
"13:48:07,603163","0.636594000","0.274914000","53","140","18.142.186.24","2500","100.64.0.2","34314","88","1585","38"
"13:48:07,607175","0.640606000","0.278926000","54","140","18.142.186.24","2500","100.64.0.2","34314","88","1673","38"
"13:48:07,612056","0.645487000","0.283807000","55","140","18.142.186.24","2500","100.64.0.2","34314","88","1761","38"
