_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:36:16,685932","0.000000000","0.000000000","1","60","100.64.0.2","50064","18.142.186.24","2500","0","0","0"
"11:36:16,687876","0.001944000",,"2","76",,,,,,,
"11:36:16,688900","0.002968000","0.002968000","3","60","18.142.186.24","2500","100.64.0.2","50064","0","0","1"
"11:36:16,806914","0.120982000","0.120982000","4","52","100.64.0.2","50064","18.142.186.24","2500","0","1","1"
"11:36:16,806933","0.121001000","0.121001000","5","89","100.64.0.2","50064","18.142.186.24","2500","37","1","1"
"11:36:16,809564","0.123632000","0.123632000","6","52","18.142.186.24","2500","100.64.0.2","50064","0","1","38"
"11:36:16,809597","0.123665000","0.123665000","7","53","18.142.186.24","2500","100.64.0.2","50064","1","1","38"
"11:36:16,911931","0.225999000",,"8","76",,,,,,,
"11:36:16,927019","0.241087000","0.241087000","9","52","100.64.0.2","50064","18.142.186.24","2500","0","38","2"
"11:36:16,927036","0.241104000","0.241104000","10","56","100.64.0.2","50064","18.142.186.24","2500","4","38","2"
"11:36:16,927045","0.241113000","0.241113000","11","100","100.64.0.2","50064","18.142.186.24","2500","48","42","2"
"11:36:16,927052","0.241120000","0.241120000","12","100","100.64.0.2","50064","18.142.186.24","2500","48","90","2"
"11:36:16,927060","0.241128000","0.241128000","13","100","100.64.0.2","50064","18.142.186.24","2500","48","138","2"
"11:36:16,930792","0.244860000","0.244860000","14","52","18.142.186.24","2500","100.64.0.2","50064","0","2","186"
"11:36:16,930825","0.244893000","0.244893000","15","53","18.142.186.24","2500","100.64.0.2","50064","1","2","186"
"11:36:17,047244","0.361312000","0.000000000","16","60","100.64.0.2","50066","18.142.186.24","2500","0","0","0"
"11:36:17,050603","0.364671000","0.003359000","17","60","18.142.186.24","2500","100.64.0.2","50066","0","0","1"
"11:36:17,083400","0.397468000","0.397468000","18","52","100.64.0.2","50064","18.142.186.24","2500","0","186","3"
"11:36:17,167648","0.481716000","0.120404000","19","52","100.64.0.2","50066","18.142.186.24","2500","0","1","1"
"11:36:17,167668","0.481736000","0.120424000","20","89","100.64.0.2","50066","18.142.186.24","2500","37","1","1"
"11:36:17,170554","0.484622000","0.123310000","21","52","18.142.186.24","2500","100.64.0.2","50066","0","1","38"
"11:36:17,171353","0.485421000","0.485421000","22","53","18.142.186.24","2500","100.64.0.2","50064","1","3","186"
"11:36:17,171624","0.485692000","0.124380000","23","140","18.142.186.24","2500","100.64.0.2","50066","88","1","38"
"11:36:17,171657","0.485725000","0.124413000","24","140","18.142.186.24","2500","100.64.0.2","50066","88","89","38"
"11:36:17,172494","0.486562000","0.125250000","25","140","18.142.186.24","2500","100.64.0.2","50066","88","177","38"
"11:36:17,172527","0.486595000","0.125283000","26","140","18.142.186.24","2500","100.64.0.2","50066","88","265","38"
"11:36:17,172561","0.486629000","0.125317000","27","140","18.142.186.24","2500","100.64.0.2","50066","88","353","38"
"11:36:17,172570","0.486638000","0.125326000","28","140","18.142.186.24","2500","100.64.0.2","50066","88","441","38"
"11:36:17,172599","0.486667000","0.125355000","29","140","18.142.186.24","2500","100.64.0.2","50066","88","529","38"
"11:36:17,172607","0.486675000","0.125363000","30","140","18.142.186.24","2500","100.64.0.2","50066","88","617","38"
"11:36:17,172637","0.486705000","0.125393000","31","140","18.142.186.24","2500","100.64.0.2","50066","88","705","38"
"11:36:17,172646","0.486714000","0.125402000","32","140","18.142.186.24","2500","100.64.0.2","50066","88","793","38"
"11:36:17,288063","0.602131000","0.602131000","33","52","100.64.0.2","50064","18.142.186.24","2500","0","186","4"
"11:36:17,288066","0.602134000","0.240822000","34","52","100.64.0.2","50066","18.142.186.24","2500","0","38","89"
"11:36:17,288067","0.602135000","0.240823000","35","52","100.64.0.2","50066","18.142.186.24","2500","0","38","177"
"11:36:17,288069","0.602137000","0.240825000","36","52","100.64.0.2","50066","18.142.186.24","2500","0","38","265"
"11:36:17,288070","0.602138000","0.240826000","37","52","100.64.0.2","50066","18.142.186.24","2500","0","38","353"
"11:36:17,288072","0.602140000","0.240828000","38","52","100.64.0.2","50066","18.142.186.24","2500","0","38","441"
"11:36:17,288073","0.602141000","0.240829000","39","52","100.64.0.2","50066","18.142.186.24","2500","0","38","529"
"11:36:17,288075","0.602143000","0.240831000","40","52","100.64.0.2","50066","18.142.186.24","2500","0","38","617"
"11:36:17,288076","0.602144000","0.240832000","41","52","100.64.0.2","50066","18.142.186.24","2500","0","38","705"
"11:36:17,288077","0.602145000","0.240833000","42","52","100.64.0.2","50066","18.142.186.24","2500","0","38","793"
"11:36:17,290417","0.604485000","0.604485000","43","53","18.142.186.24","2500","100.64.0.2","50064","1","4","186"
"11:36:17,290525","0.604593000","0.243281000","44","140","18.142.186.24","2500","100.64.0.2","50066","88","881","38"
"11:36:17,290531","0.604599000","0.243287000","45","140","18.142.186.24","2500","100.64.0.2","50066","88","969","38"
"11:36:17,290536","0.604604000","0.243292000","46","140","18.142.186.24","2500","100.64.0.2","50066","88","1057","38"
"11:36:17,290538","0.604606000","0.243294000","47","140","18.142.186.24","2500","100.64.0.2","50066","88","1145","38"
"11:36:17,290729","0.604797000","0.243485000","48","140","18.142.186.24","2500","100.64.0.2","50066","88","1233","38"
"11:36:17,290734","0.604802000","0.243490000","49","140","18.142.186.24","2500","100.64.0.2","50066","88","1321","38"
"11:36:17,290740","0.604808000","0.243496000","50","140","18.142.186.24","2500","100.64.0.2","50066","88","1409","38"
"11:36:17,290741","0.604809000","0.243497000","51","140","18.142.186.24","2500","100.64.0.2","50066","88","1497","38"
"11:36:17,290746","0.604814000","0.243502000","52","140","18.142.186.24","2500","100.64.0.2","50066","88","1585","38"
"11:36:17,290747","0.604815000","0.243503000","53","140","18.142.186.24","2500","100.64.0.2","50066","88","1673","38"
"11:36:17,290752","0.604820000","0.243508000","54","140","18.142.186.24","2500","100.64.0.2","50066","88","1761","38"
"11:36:17,290753","0.604821000","0.243509000","55","140","18.142.186.24","2500","100.64.0.2","50066","88","1849","38"
"11:36:17,290861","0.604929000","0.243617000","56","140","18.142.186.24","2500","100.64.0.2","50066","88","1937","38"
"11:36:17,290867","0.604935000","0.243623000","57","140","18.142.186.24","2500","100.64.0.2","50066","88","2025","38"
"11:36:17,290872","0.604940000","0.243628000","58","140","18.142.186.24","2500","100.64.0.2","50066","88","2113","38"
"11:36:17,290874","0.604942000","0.243630000","59","140","18.142.186.24","2500","100.64.0.2","50066","88","2201","38"
"11:36:17,290902","0.604970000","0.243658000","60","140","18.142.186.24","2500","100.64.0.2","50066","88","2289","38"
"11:36:17,290904","0.604972000","0.243660000","61","140","18.142.186.24","2500","100.64.0.2","50066","88","2377","38"
"11:36:17,300160","0.614228000","0.252916000","62","52","100.64.0.2","50066","18.142.186.24","2500","0","38","881"
"11:36:17,302757","0.616825000","0.255513000","63","140","18.142.186.24","2500","100.64.0.2","50066","88","2465","38"
"11:36:17,302763","0.616831000","0.255519000","64","140","18.142.186.24","2500","100.64.0.2","50066","88","2553","38"
"11:36:17,408644","0.722712000","0.722712000","65","52","100.64.0.2","50064","18.142.186.24","2500","0","186","5"
"11:36:17,408648","0.722716000","0.361404000","66","52","100.64.0.2","50066","18.142.186.24","2500","0","38","969"
"11:36:17,408650","0.722718000","0.361406000","67","52","100.64.0.2","50066","18.142.186.24","2500","0","38","1057"
"11:36:17,408652","0.722720000","0.361408000","68","52","100.64.0.2","50066","18.142.186.24","2500","0","38","1233"
"11:36:17,408654","0.722722000","0.361410000","69","52","100.64.0.2","50066","18.142.186.24","2500","0","38","1409"
"11:36:17,408656","0.722724000","0.361412000","70","52","100.64.0.2","50066","18.142.186.24","2500","0","38","1585"
