_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:48:45,583843","0.000000000",,"1","76",,,,,,,
"11:48:45,643454","0.059611000","0.000000000","2","60","100.64.0.2","46032","18.142.186.24","2500","0","0","0"
"11:48:45,647064","0.063221000","0.003610000","3","60","18.142.186.24","2500","100.64.0.2","46032","0","0","1"
"11:48:45,765060","0.181217000","0.121606000","4","52","100.64.0.2","46032","18.142.186.24","2500","0","1","1"
"11:48:45,765081","0.181238000","0.121627000","5","89","100.64.0.2","46032","18.142.186.24","2500","37","1","1"
"11:48:45,768418","0.184575000","0.124964000","6","52","18.142.186.24","2500","100.64.0.2","46032","0","1","38"
"11:48:45,768451","0.184608000","0.124997000","7","53","18.142.186.24","2500","100.64.0.2","46032","1","1","38"
"11:48:45,884728","0.300885000","0.241274000","8","52","100.64.0.2","46032","18.142.186.24","2500","0","38","2"
"11:48:45,884747","0.300904000","0.241293000","9","56","100.64.0.2","46032","18.142.186.24","2500","4","38","2"
"11:48:45,884756","0.300913000","0.241302000","10","100","100.64.0.2","46032","18.142.186.24","2500","48","42","2"
"11:48:45,884764","0.300921000","0.241310000","11","100","100.64.0.2","46032","18.142.186.24","2500","48","90","2"
"11:48:45,884773","0.300930000","0.241319000","12","100","100.64.0.2","46032","18.142.186.24","2500","48","138","2"
"11:48:45,889054","0.305211000","0.245600000","13","52","18.142.186.24","2500","100.64.0.2","46032","0","2","186"
"11:48:45,889087","0.305244000","0.245633000","14","53","18.142.186.24","2500","100.64.0.2","46032","1","2","186"
"11:48:45,999931","0.416088000",,"15","76",,,,,,,
"11:48:46,005290","0.421447000","0.000000000","16","60","100.64.0.2","46040","18.142.186.24","2500","0","0","0"
"11:48:46,008226","0.424383000","0.002936000","17","60","18.142.186.24","2500","100.64.0.2","46040","0","0","1"
"11:48:46,041430","0.457587000","0.397976000","18","52","100.64.0.2","46032","18.142.186.24","2500","0","186","3"
"11:48:46,125315","0.541472000","0.120025000","19","52","100.64.0.2","46040","18.142.186.24","2500","0","1","1"
"11:48:46,125335","0.541492000","0.120045000","20","89","100.64.0.2","46040","18.142.186.24","2500","37","1","1"
"11:48:46,128197","0.544354000","0.122907000","21","52","18.142.186.24","2500","100.64.0.2","46040","0","1","38"
"11:48:46,129022","0.545179000","0.123732000","22","140","18.142.186.24","2500","100.64.0.2","46040","88","1","38"
"11:48:46,129225","0.545382000","0.123935000","23","140","18.142.186.24","2500","100.64.0.2","46040","88","89","38"
"11:48:46,129258","0.545415000","0.485804000","24","53","18.142.186.24","2500","100.64.0.2","46032","1","3","186"
"11:48:46,129857","0.546014000","0.124567000","25","140","18.142.186.24","2500","100.64.0.2","46040","88","177","38"
"11:48:46,129889","0.546046000","0.124599000","26","140","18.142.186.24","2500","100.64.0.2","46040","88","265","38"
"11:48:46,129923","0.546080000","0.124633000","27","140","18.142.186.24","2500","100.64.0.2","46040","88","353","38"
"11:48:46,129933","0.546090000","0.124643000","28","140","18.142.186.24","2500","100.64.0.2","46040","88","441","38"
"11:48:46,129962","0.546119000","0.124672000","29","140","18.142.186.24","2500","100.64.0.2","46040","88","529","38"
"11:48:46,129972","0.546129000","0.124682000","30","140","18.142.186.24","2500","100.64.0.2","46040","88","617","38"
"11:48:46,130001","0.546158000","0.124711000","31","140","18.142.186.24","2500","100.64.0.2","46040","88","705","38"
"11:48:46,130010","0.546167000","0.124720000","32","140","18.142.186.24","2500","100.64.0.2","46040","88","793","38"
"11:48:46,245173","0.661330000","0.239883000","33","52","100.64.0.2","46040","18.142.186.24","2500","0","38","89"
"11:48:46,245176","0.661333000","0.239886000","34","52","100.64.0.2","46040","18.142.186.24","2500","0","38","177"
"11:48:46,245178","0.661335000","0.601724000","35","52","100.64.0.2","46032","18.142.186.24","2500","0","186","4"
"11:48:46,245179","0.661336000","0.239889000","36","52","100.64.0.2","46040","18.142.186.24","2500","0","38","265"
"11:48:46,245180","0.661337000","0.239890000","37","52","100.64.0.2","46040","18.142.186.24","2500","0","38","353"
"11:48:46,245181","0.661338000","0.239891000","38","52","100.64.0.2","46040","18.142.186.24","2500","0","38","441"
"11:48:46,245183","0.661340000","0.239893000","39","52","100.64.0.2","46040","18.142.186.24","2500","0","38","529"
"11:48:46,245184","0.661341000","0.239894000","40","52","100.64.0.2","46040","18.142.186.24","2500","0","38","617"
"11:48:46,245185","0.661342000","0.239895000","41","52","100.64.0.2","46040","18.142.186.24","2500","0","38","705"
"11:48:46,245186","0.661343000","0.239896000","42","52","100.64.0.2","46040","18.142.186.24","2500","0","38","793"
"11:48:46,247522","0.663679000","0.242232000","43","140","18.142.186.24","2500","100.64.0.2","46040","88","881","38"
"11:48:46,247527","0.663684000","0.242237000","44","140","18.142.186.24","2500","100.64.0.2","46040","88","969","38"
"11:48:46,247533","0.663690000","0.242243000","45","140","18.142.186.24","2500","100.64.0.2","46040","88","1057","38"
"11:48:46,247535","0.663692000","0.242245000","46","140","18.142.186.24","2500","100.64.0.2","46040","88","1145","38"
"11:48:46,247539","0.663696000","0.242249000","47","140","18.142.186.24","2500","100.64.0.2","46040","88","1233","38"
"11:48:46,247541","0.663698000","0.242251000","48","140","18.142.186.24","2500","100.64.0.2","46040","88","1321","38"
"11:48:46,247656","0.663813000","0.242366000","49","140","18.142.186.24","2500","100.64.0.2","46040","88","1409","38"
"11:48:46,247658","0.663815000","0.242368000","50","140","18.142.186.24","2500","100.64.0.2","46040","88","1497","38"
"11:48:46,247663","0.663820000","0.242373000","51","140","18.142.186.24","2500","100.64.0.2","46040","88","1585","38"
"11:48:46,247665","0.663822000","0.242375000","52","140","18.142.186.24","2500","100.64.0.2","46040","88","1673","38"
"11:48:46,247871","0.664028000","0.242581000","53","140","18.142.186.24","2500","100.64.0.2","46040","88","1761","38"
