_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"06:56:05,362354","0.000000000","0.000000000","1","60","100.64.0.2","38330","18.142.186.24","2500","0","0","0"
"06:56:05,365489","0.003135000","0.003135000","2","60","18.142.186.24","2500","100.64.0.2","38330","0","0","1"
"06:56:05,455806","0.093452000",,"3","76",,,,,,,
"06:56:05,483557","0.121203000","0.121203000","4","52","100.64.0.2","38330","18.142.186.24","2500","0","1","1"
"06:56:05,483576","0.121222000","0.121222000","5","89","100.64.0.2","38330","18.142.186.24","2500","37","1","1"
"06:56:05,486221","0.123867000","0.123867000","6","52","18.142.186.24","2500","100.64.0.2","38330","0","1","38"
"06:56:05,486352","0.123998000","0.123998000","7","53","18.142.186.24","2500","100.64.0.2","38330","1","1","38"
"06:56:05,603741","0.241387000","0.241387000","8","52","100.64.0.2","38330","18.142.186.24","2500","0","38","2"
"06:56:05,603765","0.241411000","0.241411000","9","56","100.64.0.2","38330","18.142.186.24","2500","4","38","2"
"06:56:05,603774","0.241420000","0.241420000","10","100","100.64.0.2","38330","18.142.186.24","2500","48","42","2"
"06:56:05,603783","0.241429000","0.241429000","11","100","100.64.0.2","38330","18.142.186.24","2500","48","90","2"
"06:56:05,607521","0.245167000","0.245167000","12","52","18.142.186.24","2500","100.64.0.2","38330","0","2","138"
"06:56:05,724510","0.362156000","0.362156000","13","92","100.64.0.2","38330","18.142.186.24","2500","40","138","2"
"06:56:05,727011","0.364657000","0.364657000","14","53","18.142.186.24","2500","100.64.0.2","38330","1","2","178"
"06:56:05,845036","0.482682000","0.000000000","15","60","100.64.0.2","38338","18.142.186.24","2500","0","0","0"
"06:56:05,848462","0.486108000","0.003426000","16","60","18.142.186.24","2500","100.64.0.2","38338","0","0","1"
"06:56:05,880434","0.518080000","0.518080000","17","52","100.64.0.2","38330","18.142.186.24","2500","0","178","3"
"06:56:05,964605","0.602251000","0.119569000","18","52","100.64.0.2","38338","18.142.186.24","2500","0","1","1"
"06:56:05,964624","0.602270000","0.119588000","19","89","100.64.0.2","38338","18.142.186.24","2500","37","1","1"
"06:56:05,967597","0.605243000","0.122561000","20","52","18.142.186.24","2500","100.64.0.2","38338","0","1","38"
"06:56:05,968140","0.605786000","0.605786000","21","53","18.142.186.24","2500","100.64.0.2","38330","1","3","178"
"06:56:05,968553","0.606199000","0.123517000","22","296","18.142.186.24","2500","100.64.0.2","38338","244","1","38"
"06:56:05,968604","0.606250000","0.123568000","23","296","18.142.186.24","2500","100.64.0.2","38338","244","245","38"
