_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:41:53,403825","0.000000000","0.000000000","1","60","100.64.0.2","58434","18.142.186.24","2500","0","0","0"
"13:41:53,407078","0.003253000","0.003253000","2","60","18.142.186.24","2500","100.64.0.2","58434","0","0","1"
"13:41:53,519907","0.116082000",,"3","76",,,,,,,
"13:41:53,525053","0.121228000","0.121228000","4","52","100.64.0.2","58434","18.142.186.24","2500","0","1","1"
"13:41:53,525073","0.121248000","0.121248000","5","89","100.64.0.2","58434","18.142.186.24","2500","37","1","1"
"13:41:53,528067","0.124242000","0.124242000","6","52","18.142.186.24","2500","100.64.0.2","58434","0","1","38"
"13:41:53,528237","0.124412000","0.124412000","7","53","18.142.186.24","2500","100.64.0.2","58434","1","1","38"
"13:41:53,644682","0.240857000","0.240857000","8","52","100.64.0.2","58434","18.142.186.24","2500","0","38","2"
"13:41:53,644700","0.240875000","0.240875000","9","56","100.64.0.2","58434","18.142.186.24","2500","4","38","2"
"13:41:53,644709","0.240884000","0.240884000","10","100","100.64.0.2","58434","18.142.186.24","2500","48","42","2"
"13:41:53,644717","0.240892000","0.240892000","11","100","100.64.0.2","58434","18.142.186.24","2500","48","90","2"
"13:41:53,644724","0.240899000","0.240899000","12","100","100.64.0.2","58434","18.142.186.24","2500","48","138","2"
"13:41:53,648487","0.244662000","0.244662000","13","52","18.142.186.24","2500","100.64.0.2","58434","0","2","186"
"13:41:53,765494","0.361669000","0.361669000","14","54","100.64.0.2","58434","18.142.186.24","2500","2","186","2"
"13:41:53,768431","0.364606000","0.364606000","15","53","18.142.186.24","2500","100.64.0.2","58434","1","2","188"
"13:41:53,885319","0.481494000","0.000000000","16","60","100.64.0.2","58448","18.142.186.24","2500","0","0","0"
"13:41:53,888318","0.484493000","0.002999000","17","60","18.142.186.24","2500","100.64.0.2","58448","0","0","1"
"13:41:53,933501","0.529676000","0.529676000","18","52","100.64.0.2","58434","18.142.186.24","2500","0","188","3"
"13:41:54,005499","0.601674000","0.120180000","19","52","100.64.0.2","58448","18.142.186.24","2500","0","1","1"
"13:41:54,005520","0.601695000","0.120201000","20","89","100.64.0.2","58448","18.142.186.24","2500","37","1","1"
"13:41:54,008257","0.604432000","0.122938000","21","52","18.142.186.24","2500","100.64.0.2","58448","0","1","38"
"13:41:54,009210","0.605385000","0.605385000","22","53","18.142.186.24","2500","100.64.0.2","58434","1","3","188"
"13:41:54,009306","0.605481000","0.123987000","23","140","18.142.186.24","2500","100.64.0.2","58448","88","1","38"
"13:41:54,009319","0.605494000","0.124000000","24","140","18.142.186.24","2500","100.64.0.2","58448","88","89","38"
"13:41:54,010058","0.606233000","0.124739000","25","140","18.142.186.24","2500","100.64.0.2","58448","88","177","38"
"13:41:54,010090","0.606265000","0.124771000","26","140","18.142.186.24","2500","100.64.0.2","58448","88","265","38"
"13:41:54,010124","0.606299000","0.124805000","27","140","18.142.186.24","2500","100.64.0.2","58448","88","353","38"
"13:41:54,010133","0.606308000","0.124814000","28","140","18.142.186.24","2500","100.64.0.2","58448","88","441","38"
"13:41:54,010163","0.606338000","0.124844000","29","140","18.142.186.24","2500","100.64.0.2","58448","88","529","38"
"13:41:54,010171","0.606346000","0.124852000","30","140","18.142.186.24","2500","100.64.0.2","58448","88","617","38"
"13:41:54,010200","0.606375000","0.124881000","31","140","18.142.186.24","2500","100.64.0.2","58448","88","705","38"
"13:41:54,010210","0.606385000","0.124891000","32","140","18.142.186.24","2500","100.64.0.2","58448","88","793","38"
"13:41:54,126429","0.722604000","0.722604000","33","52","100.64.0.2","58434","18.142.186.24","2500","0","188","4"
"13:41:54,126432","0.722607000","0.241113000","34","52","100.64.0.2","58448","18.142.186.24","2500","0","38","89"
"13:41:54,126433","0.722608000","0.241114000","35","52","100.64.0.2","58448","18.142.186.24","2500","0","38","177"
"13:41:54,126434","0.722609000","0.241115000","36","52","100.64.0.2","58448","18.142.186.24","2500","0","38","265"
"13:41:54,126436","0.722611000","0.241117000","37","52","100.64.0.2","58448","18.142.186.24","2500","0","38","353"
"13:41:54,126437","0.722612000","0.241118000","38","52","100.64.0.2","58448","18.142.186.24","2500","0","38","441"
"13:41:54,126438","0.722613000","0.241119000","39","52","100.64.0.2","58448","18.142.186.24","2500","0","38","529"
"13:41:54,126440","0.722615000","0.241121000","40","52","100.64.0.2","58448","18.142.186.24","2500","0","38","617"
"13:41:54,126441","0.722616000","0.241122000","41","52","100.64.0.2","58448","18.142.186.24","2500","0","38","705"
"13:41:54,126443","0.722618000","0.241124000","42","52","100.64.0.2","58448","18.142.186.24","2500","0","38","793"
"13:41:54,128862","0.725037000","0.243543000","43","140","18.142.186.24","2500","100.64.0.2","58448","88","881","38"
"13:41:54,128868","0.725043000","0.243549000","44","140","18.142.186.24","2500","100.64.0.2","58448","88","969","38"
"13:41:54,128873","0.725048000","0.243554000","45","140","18.142.186.24","2500","100.64.0.2","58448","88","1057","38"
"13:41:54,128875","0.725050000","0.243556000","46","140","18.142.186.24","2500","100.64.0.2","58448","88","1145","38"
"13:41:54,128941","0.725116000","0.725116000","47","53","18.142.186.24","2500","100.64.0.2","58434","1","4","188"
"13:41:54,129021","0.725196000","0.243702000","48","140","18.142.186.24","2500","100.64.0.2","58448","88","1233","38"
"13:41:54,129044","0.725219000","0.243725000","49","140","18.142.186.24","2500","100.64.0.2","58448","88","1321","38"
"13:41:54,129048","0.725223000","0.243729000","50","140","18.142.186.24","2500","100.64.0.2","58448","88","1409","38"
"13:41:54,129052","0.725227000","0.243733000","51","140","18.142.186.24","2500","100.64.0.2","58448","88","1497","38"
"13:41:54,134534","0.730709000","0.249215000","52","140","18.142.186.24","2500","100.64.0.2","58448","88","1585","38"
"13:41:54,134552","0.730727000","0.249233000","53","140","18.142.186.24","2500","100.64.0.2","58448","88","1673","38"
"13:41:54,134555","0.730730000","0.249236000","54","140","18.142.186.24","2500","100.64.0.2","58448","88","1761","38"
"13:41:54,134560","0.730735000","0.249241000","55","140","18.142.186.24","2500","100.64.0.2","58448","88","1849","38"
"13:41:54,134562","0.730737000","0.249243000","56","140","18.142.186.24","2500","100.64.0.2","58448","88","1937","38"
