_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:50:19,540028","0.000000000","0.000000000","1","60","100.64.0.2","49376","18.142.186.24","2500","0","0","0"
"11:50:19,543750","0.003722000","0.003722000","2","60","18.142.186.24","2500","100.64.0.2","49376","0","0","1"
"11:50:19,660622","0.120594000","0.120594000","3","52","100.64.0.2","49376","18.142.186.24","2500","0","1","1"
"11:50:19,660642","0.120614000","0.120614000","4","89","100.64.0.2","49376","18.142.186.24","2500","37","1","1"
"11:50:19,663487","0.123459000","0.123459000","5","52","18.142.186.24","2500","100.64.0.2","49376","0","1","38"
"11:50:19,663522","0.123494000","0.123494000","6","53","18.142.186.24","2500","100.64.0.2","49376","1","1","38"
"11:50:19,663877","0.123849000",,"7","76",,,,,,,
"11:50:19,780802","0.240774000","0.240774000","8","52","100.64.0.2","49376","18.142.186.24","2500","0","38","2"
"11:50:19,780820","0.240792000","0.240792000","9","56","100.64.0.2","49376","18.142.186.24","2500","4","38","2"
"11:50:19,780828","0.240800000","0.240800000","10","100","100.64.0.2","49376","18.142.186.24","2500","48","42","2"
"11:50:19,780836","0.240808000","0.240808000","11","100","100.64.0.2","49376","18.142.186.24","2500","48","90","2"
"11:50:19,780844","0.240816000","0.240816000","12","100","100.64.0.2","49376","18.142.186.24","2500","48","138","2"
"11:50:19,784359","0.244331000","0.244331000","13","52","18.142.186.24","2500","100.64.0.2","49376","0","2","186"
"11:50:19,900355","0.360327000","0.360327000","14","54","100.64.0.2","49376","18.142.186.24","2500","2","186","2"
"11:50:19,903038","0.363010000","0.363010000","15","53","18.142.186.24","2500","100.64.0.2","49376","1","2","188"
"11:50:20,021259","0.481231000","0.000000000","16","60","100.64.0.2","49378","18.142.186.24","2500","0","0","0"
"11:50:20,024425","0.484397000","0.003166000","17","60","18.142.186.24","2500","100.64.0.2","49378","0","0","1"
"11:50:20,069412","0.529384000","0.529384000","18","52","100.64.0.2","49376","18.142.186.24","2500","0","188","3"
"11:50:20,079905","0.539877000",,"19","76",,,,,,,
"11:50:20,141539","0.601511000","0.120280000","20","52","100.64.0.2","49378","18.142.186.24","2500","0","1","1"
"11:50:20,141560","0.601532000","0.120301000","21","89","100.64.0.2","49378","18.142.186.24","2500","37","1","1"
"11:50:20,144225","0.604197000","0.122966000","22","52","18.142.186.24","2500","100.64.0.2","49378","0","1","38"
"11:50:20,144972","0.604944000","0.604944000","23","53","18.142.186.24","2500","100.64.0.2","49376","1","3","188"
"11:50:20,145250","0.605222000","0.123991000","24","140","18.142.186.24","2500","100.64.0.2","49378","88","1","38"
"11:50:20,146616","0.606588000","0.125357000","25","140","18.142.186.24","2500","100.64.0.2","49378","88","89","38"
"11:50:20,146648","0.606620000","0.125389000","26","140","18.142.186.24","2500","100.64.0.2","49378","88","177","38"
"11:50:20,146682","0.606654000","0.125423000","27","140","18.142.186.24","2500","100.64.0.2","49378","88","265","38"
"11:50:20,146691","0.606663000","0.125432000","28","140","18.142.186.24","2500","100.64.0.2","49378","88","353","38"
"11:50:20,146721","0.606693000","0.125462000","29","140","18.142.186.24","2500","100.64.0.2","49378","88","441","38"
"11:50:20,146729","0.606701000","0.125470000","30","140","18.142.186.24","2500","100.64.0.2","49378","88","529","38"
"11:50:20,146757","0.606729000","0.125498000","31","140","18.142.186.24","2500","100.64.0.2","49378","88","617","38"
"11:50:20,146766","0.606738000","0.125507000","32","140","18.142.186.24","2500","100.64.0.2","49378","88","705","38"
"11:50:20,146787","0.606759000","0.125528000","33","140","18.142.186.24","2500","100.64.0.2","49378","88","793","38"
"11:50:20,262872","0.722844000","0.722844000","34","52","100.64.0.2","49376","18.142.186.24","2500","0","188","4"
"11:50:20,262875","0.722847000","0.241616000","35","52","100.64.0.2","49378","18.142.186.24","2500","0","38","89"
"11:50:20,262876","0.722848000","0.241617000","36","52","100.64.0.2","49378","18.142.186.24","2500","0","38","177"
"11:50:20,262877","0.722849000","0.241618000","37","52","100.64.0.2","49378","18.142.186.24","2500","0","38","265"
