_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"11:59:34,083920","0.000000000",,"1","76",,,,,,,
"11:59:34,126056","0.042136000","0.000000000","2","60","100.64.0.2","48778","18.142.186.24","2500","0","0","0"
"11:59:34,129083","0.045163000","0.003027000","3","60","18.142.186.24","2500","100.64.0.2","48778","0","0","1"
"11:59:34,247022","0.163102000","0.120966000","4","52","100.64.0.2","48778","18.142.186.24","2500","0","1","1"
"11:59:34,247047","0.163127000","0.120991000","5","89","100.64.0.2","48778","18.142.186.24","2500","37","1","1"
"11:59:34,249889","0.165969000","0.123833000","6","52","18.142.186.24","2500","100.64.0.2","48778","0","1","38"
"11:59:34,249921","0.166001000","0.123865000","7","53","18.142.186.24","2500","100.64.0.2","48778","1","1","38"
"11:59:34,366287","0.282367000","0.240231000","8","52","100.64.0.2","48778","18.142.186.24","2500","0","38","2"
"11:59:34,366311","0.282391000","0.240255000","9","56","100.64.0.2","48778","18.142.186.24","2500","4","38","2"
"11:59:34,366324","0.282404000","0.240268000","10","100","100.64.0.2","48778","18.142.186.24","2500","48","42","2"
"11:59:34,366339","0.282419000","0.240283000","11","100","100.64.0.2","48778","18.142.186.24","2500","48","90","2"
"11:59:34,366351","0.282431000","0.240295000","12","100","100.64.0.2","48778","18.142.186.24","2500","48","138","2"
"11:59:34,370090","0.286170000","0.244034000","13","52","18.142.186.24","2500","100.64.0.2","48778","0","2","186"
"11:59:34,383915","0.299995000",,"14","76",,,,,,,
"11:59:34,487089","0.403169000","0.361033000","15","58","100.64.0.2","48778","18.142.186.24","2500","6","186","2"
"11:59:34,489902","0.405982000","0.363846000","16","53","18.142.186.24","2500","100.64.0.2","48778","1","2","192"
"11:59:34,607304","0.523384000","0.000000000","17","60","100.64.0.2","48790","18.142.186.24","2500","0","0","0"
"11:59:34,610723","0.526803000","0.003419000","18","60","18.142.186.24","2500","100.64.0.2","48790","0","0","1"
"11:59:34,643460","0.559540000","0.517404000","19","52","100.64.0.2","48778","18.142.186.24","2500","0","192","3"
"11:59:34,727775","0.643855000","0.120471000","20","52","100.64.0.2","48790","18.142.186.24","2500","0","1","1"
"11:59:34,727800","0.643880000","0.120496000","21","89","100.64.0.2","48790","18.142.186.24","2500","37","1","1"
"11:59:34,730705","0.646785000","0.123401000","22","52","18.142.186.24","2500","100.64.0.2","48790","0","1","38"
"11:59:34,731308","0.647388000","0.605252000","23","53","18.142.186.24","2500","100.64.0.2","48778","1","3","192"
"11:59:34,731769","0.647849000","0.124465000","24","140","18.142.186.24","2500","100.64.0.2","48790","88","1","38"
