_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:14:19,246691","0.000000000","0.000000000","1","60","100.64.0.2","41190","18.142.186.24","2500","0","0","0"
"12:14:19,249975","0.003284000","0.003284000","2","60","18.142.186.24","2500","100.64.0.2","41190","0","0","1"
"12:14:19,367993","0.121302000","0.121302000","3","52","100.64.0.2","41190","18.142.186.24","2500","0","1","1"
"12:14:19,368014","0.121323000","0.121323000","4","89","100.64.0.2","41190","18.142.186.24","2500","37","1","1"
"12:14:19,371110","0.124419000","0.124419000","5","52","18.142.186.24","2500","100.64.0.2","41190","0","1","38"
"12:14:19,371144","0.124453000","0.124453000","6","53","18.142.186.24","2500","100.64.0.2","41190","1","1","38"
"12:14:19,487385","0.240694000","0.240694000","7","52","100.64.0.2","41190","18.142.186.24","2500","0","38","2"
"12:14:19,487404","0.240713000","0.240713000","8","56","100.64.0.2","41190","18.142.186.24","2500","4","38","2"
"12:14:19,487413","0.240722000","0.240722000","9","100","100.64.0.2","41190","18.142.186.24","2500","48","42","2"
"12:14:19,487421","0.240730000","0.240730000","10","100","100.64.0.2","41190","18.142.186.24","2500","48","90","2"
"12:14:19,487430","0.240739000","0.240739000","11","100","100.64.0.2","41190","18.142.186.24","2500","48","138","2"
"12:14:19,491167","0.244476000","0.244476000","12","52","18.142.186.24","2500","100.64.0.2","41190","0","2","186"
"12:14:19,609132","0.362441000","0.362441000","13","53","100.64.0.2","41190","18.142.186.24","2500","1","186","2"
"12:14:19,612069","0.365378000","0.365378000","14","53","18.142.186.24","2500","100.64.0.2","41190","1","2","187"
"12:14:19,695901","0.449210000",,"15","76",,,,,,,
"12:14:19,728276","0.481585000","0.000000000","16","60","100.64.0.2","41206","18.142.186.24","2500","0","0","0"
"12:14:19,731360","0.484669000","0.003084000","17","60","18.142.186.24","2500","100.64.0.2","41206","0","0","1"
"12:14:19,776453","0.529762000","0.529762000","18","52","100.64.0.2","41190","18.142.186.24","2500","0","187","3"
"12:14:19,849393","0.602702000","0.121117000","19","52","100.64.0.2","41206","18.142.186.24","2500","0","1","1"
"12:14:19,849414","0.602723000","0.121138000","20","89","100.64.0.2","41206","18.142.186.24","2500","37","1","1"
"12:14:19,852127","0.605436000","0.123851000","21","52","18.142.186.24","2500","100.64.0.2","41206","0","1","38"
"12:14:19,852929","0.606238000","0.606238000","22","53","18.142.186.24","2500","100.64.0.2","41190","1","3","187"
"12:14:19,852950","0.606259000","0.124674000","23","140","18.142.186.24","2500","100.64.0.2","41206","88","1","38"
"12:14:19,852975","0.606284000","0.124699000","24","140","18.142.186.24","2500","100.64.0.2","41206","88","89","38"
"12:14:19,853860","0.607169000","0.125584000","25","140","18.142.186.24","2500","100.64.0.2","41206","88","177","38"
"12:14:19,853881","0.607190000","0.125605000","26","140","18.142.186.24","2500","100.64.0.2","41206","88","265","38"
"12:14:19,853913","0.607222000","0.125637000","27","140","18.142.186.24","2500","100.64.0.2","41206","88","353","38"
"12:14:19,853922","0.607231000","0.125646000","28","140","18.142.186.24","2500","100.64.0.2","41206","88","441","38"
"12:14:19,853951","0.607260000","0.125675000","29","140","18.142.186.24","2500","100.64.0.2","41206","88","529","38"
"12:14:19,853960","0.607269000","0.125684000","30","140","18.142.186.24","2500","100.64.0.2","41206","88","617","38"
"12:14:19,853988","0.607297000","0.125712000","31","140","18.142.186.24","2500","100.64.0.2","41206","88","705","38"
"12:14:19,853999","0.607308000","0.125723000","32","140","18.142.186.24","2500","100.64.0.2","41206","88","793","38"
"12:14:19,887928","0.641237000",,"33","76",,,,,,,
"12:14:19,970072","0.723381000","0.723381000","34","52","100.64.0.2","41190","18.142.186.24","2500","0","187","4"
"12:14:19,970076","0.723385000","0.241800000","35","52","100.64.0.2","41206","18.142.186.24","2500","0","38","89"
"12:14:19,970078","0.723387000","0.241802000","36","52","100.64.0.2","41206","18.142.186.24","2500","0","38","177"
"12:14:19,970079","0.723388000","0.241803000","37","52","100.64.0.2","41206","18.142.186.24","2500","0","38","265"
"12:14:19,970080","0.723389000","0.241804000","38","52","100.64.0.2","41206","18.142.186.24","2500","0","38","353"
"12:14:19,970081","0.723390000","0.241805000","39","52","100.64.0.2","41206","18.142.186.24","2500","0","38","441"
"12:14:19,970083","0.723392000","0.241807000","40","52","100.64.0.2","41206","18.142.186.24","2500","0","38","529"
