_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:21:41,751587","0.000000000","0.000000000","1","60","100.64.0.2","35796","18.142.186.24","2500","0","0","0"
"12:21:41,754644","0.003057000","0.003057000","2","60","18.142.186.24","2500","100.64.0.2","35796","0","0","1"
"12:21:41,872758","0.121171000","0.121171000","3","52","100.64.0.2","35796","18.142.186.24","2500","0","1","1"
"12:21:41,872779","0.121192000","0.121192000","4","89","100.64.0.2","35796","18.142.186.24","2500","37","1","1"
"12:21:41,875295","0.123708000","0.123708000","5","52","18.142.186.24","2500","100.64.0.2","35796","0","1","38"
"12:21:41,875381","0.123794000","0.123794000","6","53","18.142.186.24","2500","100.64.0.2","35796","1","1","38"
"12:21:41,935917","0.184330000",,"7","76",,,,,,,
"12:21:41,992750","0.241163000","0.241163000","8","52","100.64.0.2","35796","18.142.186.24","2500","0","38","2"
"12:21:41,992769","0.241182000","0.241182000","9","56","100.64.0.2","35796","18.142.186.24","2500","4","38","2"
"12:21:41,992777","0.241190000","0.241190000","10","100","100.64.0.2","35796","18.142.186.24","2500","48","42","2"
"12:21:41,992785","0.241198000","0.241198000","11","100","100.64.0.2","35796","18.142.186.24","2500","48","90","2"
"12:21:41,992793","0.241206000","0.241206000","12","100","100.64.0.2","35796","18.142.186.24","2500","48","138","2"
"12:21:41,996580","0.244993000","0.244993000","13","52","18.142.186.24","2500","100.64.0.2","35796","0","2","186"
"12:21:41,999895","0.248308000",,"14","76",,,,,,,
"12:21:42,113558","0.361971000","0.361971000","15","54","100.64.0.2","35796","18.142.186.24","2500","2","186","2"
"12:21:42,116081","0.364494000","0.364494000","16","53","18.142.186.24","2500","100.64.0.2","35796","1","2","188"
"12:21:42,233286","0.481699000","0.000000000","17","60","100.64.0.2","35812","18.142.186.24","2500","0","0","0"
"12:21:42,236281","0.484694000","0.002995000","18","60","18.142.186.24","2500","100.64.0.2","35812","0","0","1"
"12:21:42,269428","0.517841000","0.517841000","19","52","100.64.0.2","35796","18.142.186.24","2500","0","188","3"
"12:21:42,353297","0.601710000","0.120011000","20","52","100.64.0.2","35812","18.142.186.24","2500","0","1","1"
"12:21:42,353324","0.601737000","0.120038000","21","89","100.64.0.2","35812","18.142.186.24","2500","37","1","1"
"12:21:42,356087","0.604500000","0.122801000","22","52","18.142.186.24","2500","100.64.0.2","35812","0","1","38"
"12:21:42,356822","0.605235000","0.605235000","23","53","18.142.186.24","2500","100.64.0.2","35796","1","3","188"
"12:21:42,357025","0.605438000","0.123739000","24","140","18.142.186.24","2500","100.64.0.2","35812","88","1","38"
"12:21:42,357136","0.605549000","0.123850000","25","140","18.142.186.24","2500","100.64.0.2","35812","88","89","38"
"12:21:42,357731","0.606144000","0.124445000","26","140","18.142.186.24","2500","100.64.0.2","35812","88","177","38"
"12:21:42,357763","0.606176000","0.124477000","27","140","18.142.186.24","2500","100.64.0.2","35812","88","265","38"
"12:21:42,474681","0.723094000","0.723094000","28","52","100.64.0.2","35796","18.142.186.24","2500","0","188","4"
"12:21:42,474684","0.723097000","0.241398000","29","52","100.64.0.2","35812","18.142.186.24","2500","0","38","89"
"12:21:42,474685","0.723098000","0.241399000","30","52","100.64.0.2","35812","18.142.186.24","2500","0","38","177"
"12:21:42,474687","0.723100000","0.241401000","31","52","100.64.0.2","35812","18.142.186.24","2500","0","38","265"
"12:21:42,474688","0.723101000","0.241402000","32","52","100.64.0.2","35812","18.142.186.24","2500","0","38","353"
"12:21:42,477100","0.725513000","0.725513000","33","53","18.142.186.24","2500","100.64.0.2","35796","1","4","188"
"12:21:42,477196","0.725609000","0.243910000","34","140","18.142.186.24","2500","100.64.0.2","35812","88","353","38"
"12:21:42,477201","0.725614000","0.243915000","35","140","18.142.186.24","2500","100.64.0.2","35812","88","441","38"
"12:21:42,477426","0.725839000","0.244140000","36","140","18.142.186.24","2500","100.64.0.2","35812","88","529","38"
"12:21:42,477431","0.725844000","0.244145000","37","140","18.142.186.24","2500","100.64.0.2","35812","88","617","38"
"12:21:42,477437","0.725850000","0.244151000","38","140","18.142.186.24","2500","100.64.0.2","35812","88","705","38"
"12:21:42,477438","0.725851000","0.244152000","39","140","18.142.186.24","2500","100.64.0.2","35812","88","793","38"
"12:21:42,477469","0.725882000","0.244183000","40","140","18.142.186.24","2500","100.64.0.2","35812","88","881","38"
"12:21:42,477470","0.725883000","0.244184000","41","140","18.142.186.24","2500","100.64.0.2","35812","88","969","38"
"12:21:42,477475","0.725888000","0.244189000","42","140","18.142.186.24","2500","100.64.0.2","35812","88","1057","38"
"12:21:42,477491","0.725904000","0.244205000","43","140","18.142.186.24","2500","100.64.0.2","35812","88","1145","38"
"12:21:42,477694","0.726107000","0.244408000","44","140","18.142.186.24","2500","100.64.0.2","35812","88","1233","38"
"12:21:42,477700","0.726113000","0.244414000","45","140","18.142.186.24","2500","100.64.0.2","35812","88","1321","38"
"12:21:42,477705","0.726118000","0.244419000","46","140","18.142.186.24","2500","100.64.0.2","35812","88","1409","38"
"12:21:42,477706","0.726119000","0.244420000","47","140","18.142.186.24","2500","100.64.0.2","35812","88","1497","38"
"12:21:42,477711","0.726124000","0.244425000","48","140","18.142.186.24","2500","100.64.0.2","35812","88","1585","38"
"12:21:42,477737","0.726150000","0.244451000","49","140","18.142.186.24","2500","100.64.0.2","35812","88","1673","38"
"12:21:42,477742","0.726155000","0.244456000","50","140","18.142.186.24","2500","100.64.0.2","35812","88","1761","38"
"12:21:42,477743","0.726156000","0.244457000","51","140","18.142.186.24","2500","100.64.0.2","35812","88","1849","38"
"12:21:42,477855","0.726268000","0.244569000","52","140","18.142.186.24","2500","100.64.0.2","35812","88","1937","38"
"12:21:42,477860","0.726273000","0.244574000","53","140","18.142.186.24","2500","100.64.0.2","35812","88","2025","38"
"12:21:42,477866","0.726279000","0.244580000","54","140","18.142.186.24","2500","100.64.0.2","35812","88","2113","38"
"12:21:42,477867","0.726280000","0.244581000","55","140","18.142.186.24","2500","100.64.0.2","35812","88","2201","38"
"12:21:42,477872","0.726285000","0.244586000","56","140","18.142.186.24","2500","100.64.0.2","35812","88","2289","38"
"12:21:42,477873","0.726286000","0.244587000","57","140","18.142.186.24","2500","100.64.0.2","35812","88","2377","38"
"12:21:42,478062","0.726475000","0.244776000","58","140","18.142.186.24","2500","100.64.0.2","35812","88","2465","38"
"12:21:42,478067","0.726480000","0.244781000","59","140","18.142.186.24","2500","100.64.0.2","35812","88","2553","38"
"12:21:42,478072","0.726485000","0.244786000","60","140","18.142.186.24","2500","100.64.0.2","35812","88","2641","38"
"12:21:42,478074","0.726487000","0.244788000","61","140","18.142.186.24","2500","100.64.0.2","35812","88","2729","38"
"12:21:42,478079","0.726492000","0.244793000","62","140","18.142.186.24","2500","100.64.0.2","35812","88","2817","38"
"12:21:42,478080","0.726493000","0.244794000","63","140","18.142.186.24","2500","100.64.0.2","35812","88","2905","38"
"12:21:42,478085","0.726498000","0.244799000","64","140","18.142.186.24","2500","100.64.0.2","35812","88","2993","38"
"12:21:42,478086","0.726499000","0.244800000","65","140","18.142.186.24","2500","100.64.0.2","35812","88","3081","38"
"12:21:42,478091","0.726504000","0.244805000","66","140","18.142.186.24","2500","100.64.0.2","35812","88","3169","38"
"12:21:42,478092","0.726505000","0.244806000","67","140","18.142.186.24","2500","100.64.0.2","35812","88","3257","38"
"12:21:42,478223","0.726636000","0.244937000","68","140","18.142.186.24","2500","100.64.0.2","35812","88","3345","38"
"12:21:42,478229","0.726642000","0.244943000","69","140","18.142.186.24","2500","100.64.0.2","35812","88","3433","38"
"12:21:42,478234","0.726647000","0.244948000","70","140","18.142.186.24","2500","100.64.0.2","35812","88","3521","38"
"12:21:42,478235","0.726648000","0.244949000","71","140","18.142.186.24","2500","100.64.0.2","35812","88","3609","38"
"12:21:42,478240","0.726653000","0.244954000","72","140","18.142.186.24","2500","100.64.0.2","35812","88","3697","38"
"12:21:42,478266","0.726679000","0.244980000","73","140","18.142.186.24","2500","100.64.0.2","35812","88","3785","38"
"12:21:42,478371","0.726784000","0.245085000","74","140","18.142.186.24","2500","100.64.0.2","35812","88","3873","38"
"12:21:42,478376","0.726789000","0.245090000","75","140","18.142.186.24","2500","100.64.0.2","35812","88","3961","38"
"12:21:42,478381","0.726794000","0.245095000","76","140","18.142.186.24","2500","100.64.0.2","35812","88","4049","38"
"12:21:42,478383","0.726796000","0.245097000","77","140","18.142.186.24","2500","100.64.0.2","35812","88","4137","38"
"12:21:42,478388","0.726801000","0.245102000","78","140","18.142.186.24","2500","100.64.0.2","35812","88","4225","38"
"12:21:42,478389","0.726802000","0.245103000","79","140","18.142.186.24","2500","100.64.0.2","35812","88","4313","38"
"12:21:42,478429","0.726842000","0.245143000","80","140","18.142.186.24","2500","100.64.0.2","35812","88","4401","38"
"12:21:42,478432","0.726845000","0.245146000","81","140","18.142.186.24","2500","100.64.0.2","35812","88","4489","38"
"12:21:42,478437","0.726850000","0.245151000","82","140","18.142.186.24","2500","100.64.0.2","35812","88","4577","38"
"12:21:42,478440","0.726853000","0.245154000","83","140","18.142.186.24","2500","100.64.0.2","35812","88","4665","38"
"12:21:42,478610","0.727023000","0.245324000","84","140","18.142.186.24","2500","100.64.0.2","35812","88","4753","38"
"12:21:42,478651","0.727064000","0.245365000","85","140","18.142.186.24","2500","100.64.0.2","35812","88","4841","38"
"12:21:42,478654","0.727067000","0.245368000","86","140","18.142.186.24","2500","100.64.0.2","35812","88","4929","38"
"12:21:42,478659","0.727072000","0.245373000","87","140","18.142.186.24","2500","100.64.0.2","35812","88","5017","38"
"12:21:42,478661","0.727074000","0.245375000","88","140","18.142.186.24","2500","100.64.0.2","35812","88","5105","38"
