_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:32:39,923556","0.000000000","0.000000000","1","60","100.64.0.2","32774","18.142.186.24","2500","0","0","0"
"12:32:39,926539","0.002983000","0.002983000","2","60","18.142.186.24","2500","100.64.0.2","32774","0","0","1"
"12:32:40,044447","0.120891000","0.120891000","3","52","100.64.0.2","32774","18.142.186.24","2500","0","1","1"
"12:32:40,044466","0.120910000","0.120910000","4","89","100.64.0.2","32774","18.142.186.24","2500","37","1","1"
"12:32:40,047121","0.123565000","0.123565000","5","52","18.142.186.24","2500","100.64.0.2","32774","0","1","38"
"12:32:40,047153","0.123597000","0.123597000","6","53","18.142.186.24","2500","100.64.0.2","32774","1","1","38"
"12:32:40,164406","0.240850000","0.240850000","7","52","100.64.0.2","32774","18.142.186.24","2500","0","38","2"
"12:32:40,164425","0.240869000","0.240869000","8","56","100.64.0.2","32774","18.142.186.24","2500","4","38","2"
"12:32:40,164434","0.240878000","0.240878000","9","100","100.64.0.2","32774","18.142.186.24","2500","48","42","2"
"12:32:40,164442","0.240886000","0.240886000","10","100","100.64.0.2","32774","18.142.186.24","2500","48","90","2"
"12:32:40,164450","0.240894000","0.240894000","11","100","100.64.0.2","32774","18.142.186.24","2500","48","138","2"
"12:32:40,167904","0.244348000","0.244348000","12","52","18.142.186.24","2500","100.64.0.2","32774","0","2","186"
"12:32:40,285886","0.362330000","0.362330000","13","57","100.64.0.2","32774","18.142.186.24","2500","5","186","2"
"12:32:40,288302","0.364746000","0.364746000","14","53","18.142.186.24","2500","100.64.0.2","32774","1","2","191"
"12:32:40,405285","0.481729000","0.000000000","15","60","100.64.0.2","32776","18.142.186.24","2500","0","0","0"
"12:32:40,408274","0.484718000","0.002989000","16","60","18.142.186.24","2500","100.64.0.2","32776","0","0","1"
"12:32:40,453461","0.529905000","0.529905000","17","52","100.64.0.2","32774","18.142.186.24","2500","0","191","3"
"12:32:40,495902","0.572346000",,"18","76",,,,,,,
"12:32:40,525317","0.601761000","0.120032000","19","52","100.64.0.2","32776","18.142.186.24","2500","0","1","1"
"12:32:40,525337","0.601781000","0.120052000","20","89","100.64.0.2","32776","18.142.186.24","2500","37","1","1"
