_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"12:38:32,423484","0.000000000","0.000000000","1","60","100.64.0.2","38680","18.142.186.24","2500","0","0","0"
"12:38:32,426761","0.003277000","0.003277000","2","60","18.142.186.24","2500","100.64.0.2","38680","0","0","1"
"12:38:32,544708","0.121224000","0.121224000","3","52","100.64.0.2","38680","18.142.186.24","2500","0","1","1"
"12:38:32,544729","0.121245000","0.121245000","4","89","100.64.0.2","38680","18.142.186.24","2500","37","1","1"
"12:38:32,547784","0.124300000","0.124300000","5","52","18.142.186.24","2500","100.64.0.2","38680","0","1","38"
"12:38:32,547815","0.124331000","0.124331000","6","53","18.142.186.24","2500","100.64.0.2","38680","1","1","38"
"12:38:32,665059","0.241575000","0.241575000","7","52","100.64.0.2","38680","18.142.186.24","2500","0","38","2"
"12:38:32,665079","0.241595000","0.241595000","8","56","100.64.0.2","38680","18.142.186.24","2500","4","38","2"
"12:38:32,665088","0.241604000","0.241604000","9","100","100.64.0.2","38680","18.142.186.24","2500","48","42","2"
"12:38:32,665096","0.241612000","0.241612000","10","100","100.64.0.2","38680","18.142.186.24","2500","48","90","2"
"12:38:32,668907","0.245423000","0.245423000","11","52","18.142.186.24","2500","100.64.0.2","38680","0","2","138"
"12:38:32,751925","0.328441000",,"12","76",,,,,,,
"12:38:32,785924","0.362440000","0.362440000","13","99","100.64.0.2","38680","18.142.186.24","2500","47","138","2"
"12:38:32,788773","0.365289000","0.365289000","14","53","18.142.186.24","2500","100.64.0.2","38680","1","2","185"
"12:38:32,905298","0.481814000","0.000000000","15","60","100.64.0.2","38688","18.142.186.24","2500","0","0","0"
"12:38:32,908517","0.485033000","0.003219000","16","60","18.142.186.24","2500","100.64.0.2","38688","0","0","1"
"12:38:32,953437","0.529953000","0.529953000","17","52","100.64.0.2","38680","18.142.186.24","2500","0","185","3"
"12:38:33,025434","0.601950000","0.120136000","18","52","100.64.0.2","38688","18.142.186.24","2500","0","1","1"
"12:38:33,025438","0.601954000","0.120140000","19","89","100.64.0.2","38688","18.142.186.24","2500","37","1","1"
"12:38:33,028416","0.604932000","0.123118000","20","52","18.142.186.24","2500","100.64.0.2","38688","0","1","38"
"12:38:33,029301","0.605817000","0.124003000","21","140","18.142.186.24","2500","100.64.0.2","38688","88","1","38"
"12:38:33,029308","0.605824000","0.124010000","22","140","18.142.186.24","2500","100.64.0.2","38688","88","89","38"
"12:38:33,029392","0.605908000","0.605908000","23","53","18.142.186.24","2500","100.64.0.2","38680","1","3","185"
"12:38:33,029945","0.606461000","0.124647000","24","140","18.142.186.24","2500","100.64.0.2","38688","88","177","38"
"12:38:33,029952","0.606468000","0.124654000","25","140","18.142.186.24","2500","100.64.0.2","38688","88","265","38"
"12:38:33,029959","0.606475000","0.124661000","26","140","18.142.186.24","2500","100.64.0.2","38688","88","353","38"
"12:38:33,029961","0.606477000","0.124663000","27","140","18.142.186.24","2500","100.64.0.2","38688","88","441","38"
"12:38:33,029968","0.606484000","0.124670000","28","140","18.142.186.24","2500","100.64.0.2","38688","88","529","38"
"12:38:33,029970","0.606486000","0.124672000","29","140","18.142.186.24","2500","100.64.0.2","38688","88","617","38"
"12:38:33,029976","0.606492000","0.124678000","30","140","18.142.186.24","2500","100.64.0.2","38688","88","705","38"
"12:38:33,029978","0.606494000","0.124680000","31","140","18.142.186.24","2500","100.64.0.2","38688","88","793","38"
"12:38:33,146961","0.723477000","0.241663000","32","52","100.64.0.2","38688","18.142.186.24","2500","0","38","89"
"12:38:33,146964","0.723480000","0.241666000","33","52","100.64.0.2","38688","18.142.186.24","2500","0","38","177"
"12:38:33,146966","0.723482000","0.723482000","34","52","100.64.0.2","38680","18.142.186.24","2500","0","185","4"
"12:38:33,146968","0.723484000","0.241670000","35","52","100.64.0.2","38688","18.142.186.24","2500","0","38","265"
"12:38:33,146969","0.723485000","0.241671000","36","52","100.64.0.2","38688","18.142.186.24","2500","0","38","353"
"12:38:33,146970","0.723486000","0.241672000","37","52","100.64.0.2","38688","18.142.186.24","2500","0","38","441"
"12:38:33,146971","0.723487000","0.241673000","38","52","100.64.0.2","38688","18.142.186.24","2500","0","38","529"
"12:38:33,146973","0.723489000","0.241675000","39","52","100.64.0.2","38688","18.142.186.24","2500","0","38","617"
"12:38:33,146974","0.723490000","0.241676000","40","52","100.64.0.2","38688","18.142.186.24","2500","0","38","705"
"12:38:33,146975","0.723491000","0.241677000","41","52","100.64.0.2","38688","18.142.186.24","2500","0","38","793"
"12:38:33,149510","0.726026000","0.726026000","42","53","18.142.186.24","2500","100.64.0.2","38680","1","4","185"
"12:38:33,149581","0.726097000","0.244283000","43","140","18.142.186.24","2500","100.64.0.2","38688","88","881","38"
"12:38:33,149587","0.726103000","0.244289000","44","140","18.142.186.24","2500","100.64.0.2","38688","88","969","38"
"12:38:33,149592","0.726108000","0.244294000","45","140","18.142.186.24","2500","100.64.0.2","38688","88","1057","38"
