_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"06:46:52,327658","0.000000000","0.000000000","1","60","100.64.0.2","40156","18.142.186.24","2500","0","0","0"
"06:46:52,330792","0.003134000","0.003134000","2","60","18.142.186.24","2500","100.64.0.2","40156","0","0","1"
"06:46:52,339893","0.012235000",,"3","76",,,,,,,
"06:46:52,448796","0.121138000","0.121138000","4","52","100.64.0.2","40156","18.142.186.24","2500","0","1","1"
"06:46:52,448816","0.121158000","0.121158000","5","89","100.64.0.2","40156","18.142.186.24","2500","37","1","1"
"06:46:52,451784","0.124126000","0.124126000","6","52","18.142.186.24","2500","100.64.0.2","40156","0","1","38"
"06:46:52,451865","0.124207000","0.124207000","7","53","18.142.186.24","2500","100.64.0.2","40156","1","1","38"
"06:46:52,568772","0.241114000","0.241114000","8","52","100.64.0.2","40156","18.142.186.24","2500","0","38","2"
"06:46:52,568792","0.241134000","0.241134000","9","56","100.64.0.2","40156","18.142.186.24","2500","4","38","2"
"06:46:52,568800","0.241142000","0.241142000","10","100","100.64.0.2","40156","18.142.186.24","2500","48","42","2"
"06:46:52,568808","0.241150000","0.241150000","11","100","100.64.0.2","40156","18.142.186.24","2500","48","90","2"
"06:46:52,572570","0.244912000","0.244912000","12","52","18.142.186.24","2500","100.64.0.2","40156","0","2","138"
"06:46:52,689573","0.361915000","0.361915000","13","91","100.64.0.2","40156","18.142.186.24","2500","39","138","2"
"06:46:52,692433","0.364775000","0.364775000","14","53","18.142.186.24","2500","100.64.0.2","40156","1","2","177"
"06:46:52,809290","0.481632000","0.000000000","15","60","100.64.0.2","40168","18.142.186.24","2500","0","0","0"
"06:46:52,812652","0.484994000","0.003362000","16","60","18.142.186.24","2500","100.64.0.2","40168","0","0","1"
"06:46:52,815894","0.488236000",,"17","76",,,,,,,
"06:46:52,857467","0.529809000","0.529809000","18","52","100.64.0.2","40156","18.142.186.24","2500","0","177","3"
"06:46:52,879796","0.552138000",,"19","76",,,,,,,
"06:46:52,929713","0.602055000","0.120423000","20","52","100.64.0.2","40168","18.142.186.24","2500","0","1","1"
"06:46:52,929731","0.602073000","0.120441000","21","89","100.64.0.2","40168","18.142.186.24","2500","37","1","1"
"06:46:52,932593","0.604935000","0.123303000","22","52","18.142.186.24","2500","100.64.0.2","40168","0","1","38"
"06:46:52,933038","0.605380000","0.605380000","23","53","18.142.186.24","2500","100.64.0.2","40156","1","3","177"
"06:46:52,933409","0.605751000","0.124119000","24","296","18.142.186.24","2500","100.64.0.2","40168","244","1","38"
"06:46:52,933615","0.605957000","0.124325000","25","296","18.142.186.24","2500","100.64.0.2","40168","244","245","38"
"06:46:52,934463","0.606805000","0.125173000","26","296","18.142.186.24","2500","100.64.0.2","40168","244","489","38"
"06:46:52,934494","0.606836000","0.125204000","27","296","18.142.186.24","2500","100.64.0.2","40168","244","733","38"
"06:46:52,934527","0.606869000","0.125237000","28","296","18.142.186.24","2500","100.64.0.2","40168","244","977","38"
"06:46:52,934537","0.606879000","0.125247000","29","296","18.142.186.24","2500","100.64.0.2","40168","244","1221","38"
"06:46:52,934565","0.606907000","0.125275000","30","296","18.142.186.24","2500","100.64.0.2","40168","244","1465","38"
"06:46:52,934574","0.606916000","0.125284000","31","296","18.142.186.24","2500","100.64.0.2","40168","244","1709","38"
"06:46:52,934603","0.606945000","0.125313000","32","296","18.142.186.24","2500","100.64.0.2","40168","244","1953","38"
"06:46:52,934611","0.606953000","0.125321000","33","296","18.142.186.24","2500","100.64.0.2","40168","244","2197","38"
"06:46:53,007757","0.680099000",,"34","76",,,,,,,
"06:46:53,050609","0.722951000","0.722951000","35","52","100.64.0.2","40156","18.142.186.24","2500","0","177","4"
"06:46:53,050612","0.722954000","0.241322000","36","52","100.64.0.2","40168","18.142.186.24","2500","0","38","245"
