_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:59:32,175810","0.000000000","0.000000000","1","60","100.64.0.2","36098","18.142.186.24","2500","0","0","0"
"13:59:32,178619","0.002809000","0.002809000","2","60","18.142.186.24","2500","100.64.0.2","36098","0","0","1"
"13:59:32,296729","0.120919000","0.120919000","3","52","100.64.0.2","36098","18.142.186.24","2500","0","1","1"
"13:59:32,296748","0.120938000","0.120938000","4","89","100.64.0.2","36098","18.142.186.24","2500","37","1","1"
"13:59:32,299510","0.123700000","0.123700000","5","52","18.142.186.24","2500","100.64.0.2","36098","0","1","38"
"13:59:32,299541","0.123731000","0.123731000","6","53","18.142.186.24","2500","100.64.0.2","36098","1","1","38"
"13:59:32,416791","0.240981000","0.240981000","7","52","100.64.0.2","36098","18.142.186.24","2500","0","38","2"
"13:59:32,416809","0.240999000","0.240999000","8","56","100.64.0.2","36098","18.142.186.24","2500","4","38","2"
"13:59:32,416817","0.241007000","0.241007000","9","100","100.64.0.2","36098","18.142.186.24","2500","48","42","2"
"13:59:32,416826","0.241016000","0.241016000","10","100","100.64.0.2","36098","18.142.186.24","2500","48","90","2"
"13:59:32,416834","0.241024000","0.241024000","11","100","100.64.0.2","36098","18.142.186.24","2500","48","138","2"
"13:59:32,420653","0.244843000","0.244843000","12","52","18.142.186.24","2500","100.64.0.2","36098","0","2","186"
"13:59:32,431901","0.256091000",,"13","76",,,,,,,
"13:59:32,537641","0.361831000","0.361831000","14","53","100.64.0.2","36098","18.142.186.24","2500","1","186","2"
"13:59:32,540163","0.364353000","0.364353000","15","53","18.142.186.24","2500","100.64.0.2","36098","1","2","187"
"13:59:32,657295","0.481485000","0.000000000","16","60","100.64.0.2","36102","18.142.186.24","2500","0","0","0"
"13:59:32,660511","0.484701000","0.003216000","17","60","18.142.186.24","2500","100.64.0.2","36102","0","0","1"
"13:59:32,693446","0.517636000","0.517636000","18","52","100.64.0.2","36098","18.142.186.24","2500","0","187","3"
"13:59:32,777651","0.601841000","0.120356000","19","52","100.64.0.2","36102","18.142.186.24","2500","0","1","1"
