_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"07:04:53,118327","0.000000000","0.000000000","1","60","100.64.0.2","35984","18.142.186.24","2500","0","0","0"
"07:04:53,121373","0.003046000","0.003046000","2","60","18.142.186.24","2500","100.64.0.2","35984","0","0","1"
"07:04:53,239347","0.121020000","0.121020000","3","52","100.64.0.2","35984","18.142.186.24","2500","0","1","1"
"07:04:53,239366","0.121039000","0.121039000","4","89","100.64.0.2","35984","18.142.186.24","2500","37","1","1"
"07:04:53,241942","0.123615000","0.123615000","5","52","18.142.186.24","2500","100.64.0.2","35984","0","1","38"
"07:04:53,242195","0.123868000","0.123868000","6","53","18.142.186.24","2500","100.64.0.2","35984","1","1","38"
"07:04:53,359552","0.241225000","0.241225000","7","52","100.64.0.2","35984","18.142.186.24","2500","0","38","2"
"07:04:53,359572","0.241245000","0.241245000","8","56","100.64.0.2","35984","18.142.186.24","2500","4","38","2"
"07:04:53,359581","0.241254000","0.241254000","9","100","100.64.0.2","35984","18.142.186.24","2500","48","42","2"
"07:04:53,359589","0.241262000","0.241262000","10","100","100.64.0.2","35984","18.142.186.24","2500","48","90","2"
"07:04:53,363246","0.244919000","0.244919000","11","52","18.142.186.24","2500","100.64.0.2","35984","0","2","138"
"07:04:53,480247","0.361920000","0.361920000","12","91","100.64.0.2","35984","18.142.186.24","2500","39","138","2"
"07:04:53,482982","0.364655000","0.364655000","13","53","18.142.186.24","2500","100.64.0.2","35984","1","2","177"
"07:04:53,600300","0.481973000","0.000000000","14","60","100.64.0.2","35990","18.142.186.24","2500","0","0","0"
"07:04:53,603421","0.485094000","0.003121000","15","60","18.142.186.24","2500","100.64.0.2","35990","0","0","1"
"07:04:53,615917","0.497590000",,"16","76",,,,,,,
"07:04:53,636453","0.518126000","0.518126000","17","52","100.64.0.2","35984","18.142.186.24","2500","0","177","3"
"07:04:53,711915","0.593588000",,"18","76",,,,,,,
"07:04:53,720471","0.602144000","0.120171000","19","52","100.64.0.2","35990","18.142.186.24","2500","0","1","1"
"07:04:53,720491","0.602164000","0.120191000","20","89","100.64.0.2","35990","18.142.186.24","2500","37","1","1"
"07:04:53,723324","0.604997000","0.123024000","21","52","18.142.186.24","2500","100.64.0.2","35990","0","1","38"
"07:04:53,724115","0.605788000","0.605788000","22","53","18.142.186.24","2500","100.64.0.2","35984","1","3","177"
"07:04:53,724384","0.606057000","0.124084000","23","296","18.142.186.24","2500","100.64.0.2","35990","244","1","38"
"07:04:53,724417","0.606090000","0.124117000","24","296","18.142.186.24","2500","100.64.0.2","35990","244","245","38"
"07:04:53,725181","0.606854000","0.124881000","25","296","18.142.186.24","2500","100.64.0.2","35990","244","489","38"
"07:04:53,725214","0.606887000","0.124914000","26","296","18.142.186.24","2500","100.64.0.2","35990","244","733","38"
"07:04:53,725248","0.606921000","0.124948000","27","296","18.142.186.24","2500","100.64.0.2","35990","244","977","38"
"07:04:53,725257","0.606930000","0.124957000","28","296","18.142.186.24","2500","100.64.0.2","35990","244","1221","38"
"07:04:53,725287","0.606960000","0.124987000","29","296","18.142.186.24","2500","100.64.0.2","35990","244","1465","38"
"07:04:53,725297","0.606970000","0.124997000","30","296","18.142.186.24","2500","100.64.0.2","35990","244","1709","38"
"07:04:53,725326","0.606999000","0.125026000","31","296","18.142.186.24","2500","100.64.0.2","35990","244","1953","38"
"07:04:53,725335","0.607008000","0.125035000","32","296","18.142.186.24","2500","100.64.0.2","35990","244","2197","38"
"07:04:53,775810","0.657483000",,"33","76",,,,,,,
"07:04:53,841547","0.723220000","0.723220000","34","52","100.64.0.2","35984","18.142.186.24","2500","0","177","4"
"07:04:53,841550","0.723223000","0.241250000","35","52","100.64.0.2","35990","18.142.186.24","2500","0","38","245"
"07:04:53,841552","0.723225000","0.241252000","36","52","100.64.0.2","35990","18.142.186.24","2500","0","38","489"
"07:04:53,841553","0.723226000","0.241253000","37","52","100.64.0.2","35990","18.142.186.24","2500","0","38","733"
"07:04:53,841554","0.723227000","0.241254000","38","52","100.64.0.2","35990","18.142.186.24","2500","0","38","977"
"07:04:53,843983","0.725656000","0.725656000","39","53","18.142.186.24","2500","100.64.0.2","35984","1","4","177"
