_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"07:16:04,359834","0.000000000",,"1","76",,,,,,,
"07:16:04,392314","0.032480000","0.000000000","2","60","100.64.0.2","36298","18.142.186.24","2500","0","0","0"
"07:16:04,395628","0.035794000","0.003314000","3","60","18.142.186.24","2500","100.64.0.2","36298","0","0","1"
"07:16:04,399837","0.040003000",,"4","76",,,,,,,
"07:16:04,513648","0.153814000","0.121334000","5","52","100.64.0.2","36298","18.142.186.24","2500","0","1","1"
"07:16:04,513667","0.153833000","0.121353000","6","89","100.64.0.2","36298","18.142.186.24","2500","37","1","1"
"07:16:04,516722","0.156888000","0.124408000","7","52","18.142.186.24","2500","100.64.0.2","36298","0","1","38"
"07:16:04,516956","0.157122000","0.124642000","8","53","18.142.186.24","2500","100.64.0.2","36298","1","1","38"
"07:16:04,633193","0.273359000","0.240879000","9","52","100.64.0.2","36298","18.142.186.24","2500","0","38","2"
"07:16:04,633212","0.273378000","0.240898000","10","56","100.64.0.2","36298","18.142.186.24","2500","4","38","2"
"07:16:04,633220","0.273386000","0.240906000","11","100","100.64.0.2","36298","18.142.186.24","2500","48","42","2"
"07:16:04,633229","0.273395000","0.240915000","12","100","100.64.0.2","36298","18.142.186.24","2500","48","90","2"
"07:16:04,637172","0.277338000","0.244858000","13","52","18.142.186.24","2500","100.64.0.2","36298","0","2","138"
"07:16:04,751801","0.391967000",,"14","76",,,,,,,
"07:16:04,755158","0.395324000","0.362844000","15","91","100.64.0.2","36298","18.142.186.24","2500","39","138","2"
"07:16:04,758372","0.398538000","0.366058000","16","53","18.142.186.24","2500","100.64.0.2","36298","1","2","177"
"07:16:04,874278","0.514444000","0.000000000","17","60","100.64.0.2","36306","18.142.186.24","2500","0","0","0"
"07:16:04,877632","0.517798000","0.003354000","18","60","18.142.186.24","2500","100.64.0.2","36306","0","0","1"
"07:16:04,910431","0.550597000","0.518117000","19","52","100.64.0.2","36298","18.142.186.24","2500","0","177","3"
"07:16:04,975895","0.616061000",,"20","76",,,,,,,
"07:16:04,995143","0.635309000","0.120865000","21","52","100.64.0.2","36306","18.142.186.24","2500","0","1","1"
"07:16:04,995161","0.635327000","0.120883000","22","89","100.64.0.2","36306","18.142.186.24","2500","37","1","1"
"07:16:04,995170","0.635336000","0.120892000","23","52","100.64.0.2","36306","18.142.186.24","2500","0","38","1"
"07:16:04,995178","0.635344000","0.602864000","24","52","100.64.0.2","36298","18.142.186.24","2500","0","177","3"
"07:16:04,998287","0.638453000","0.124009000","25","52","18.142.186.24","2500","100.64.0.2","36306","0","1","38"
"07:16:04,998338","0.638504000","0.606024000","26","52","18.142.186.24","2500","100.64.0.2","36298","0","3","178"
"07:16:04,998475","0.638641000","0.124197000","27","52","18.142.186.24","2500","100.64.0.2","36306","0","1","39"
"07:16:05,115291","0.755457000","0.722977000","28","52","100.64.0.2","36298","18.142.186.24","2500","0","178","4"
"07:16:08,079779","3.719945000",,"29","48",,,,,,,
