_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:15:43,347840","0.000000000",,"1","76",,,,,,,
"13:15:43,407950","0.060110000",,"2","76",,,,,,,
"13:15:43,459232","0.111392000","0.000000000","3","60","100.64.0.2","38388","18.142.186.24","2500","0","0","0"
"13:15:43,462153","0.114313000","0.002921000","4","60","18.142.186.24","2500","100.64.0.2","38388","0","0","1"
"13:15:43,581129","0.233289000","0.121897000","5","52","100.64.0.2","38388","18.142.186.24","2500","0","1","1"
"13:15:43,581148","0.233308000","0.121916000","6","89","100.64.0.2","38388","18.142.186.24","2500","37","1","1"
"13:15:43,583882","0.236042000","0.124650000","7","52","18.142.186.24","2500","100.64.0.2","38388","0","1","38"
"13:15:43,583913","0.236073000","0.124681000","8","53","18.142.186.24","2500","100.64.0.2","38388","1","1","38"
"13:15:43,701146","0.353306000","0.241914000","9","52","100.64.0.2","38388","18.142.186.24","2500","0","38","2"
"13:15:43,701166","0.353326000","0.241934000","10","56","100.64.0.2","38388","18.142.186.24","2500","4","38","2"
"13:15:43,701175","0.353335000","0.241943000","11","100","100.64.0.2","38388","18.142.186.24","2500","48","42","2"
"13:15:43,701182","0.353342000","0.241950000","12","100","100.64.0.2","38388","18.142.186.24","2500","48","90","2"
"13:15:43,701190","0.353350000","0.241958000","13","100","100.64.0.2","38388","18.142.186.24","2500","48","138","2"
"13:15:43,704858","0.357018000","0.245626000","14","52","18.142.186.24","2500","100.64.0.2","38388","0","2","186"
"13:15:43,821847","0.474007000","0.362615000","15","53","100.64.0.2","38388","18.142.186.24","2500","1","186","2"
"13:15:43,824367","0.476527000","0.365135000","16","53","18.142.186.24","2500","100.64.0.2","38388","1","2","187"
"13:15:43,941279","0.593439000","0.000000000","17","60","100.64.0.2","38394","18.142.186.24","2500","0","0","0"
"13:15:43,944456","0.596616000","0.003177000","18","60","18.142.186.24","2500","100.64.0.2","38394","0","0","1"
"13:15:43,989432","0.641592000","0.530200000","19","52","100.64.0.2","38388","18.142.186.24","2500","0","187","3"
"13:15:44,061827","0.713987000","0.120548000","20","52","100.64.0.2","38394","18.142.186.24","2500","0","1","1"
"13:15:44,061846","0.714006000","0.120567000","21","89","100.64.0.2","38394","18.142.186.24","2500","37","1","1"
"13:15:44,064587","0.716747000","0.123308000","22","52","18.142.186.24","2500","100.64.0.2","38394","0","1","38"
"13:15:44,065381","0.717541000","0.606149000","23","53","18.142.186.24","2500","100.64.0.2","38388","1","3","187"
"13:15:44,065672","0.717832000","0.124393000","24","140","18.142.186.24","2500","100.64.0.2","38394","88","1","38"
"13:15:44,065786","0.717946000","0.124507000","25","140","18.142.186.24","2500","100.64.0.2","38394","88","89","38"
"13:15:44,066486","0.718646000","0.125207000","26","140","18.142.186.24","2500","100.64.0.2","38394","88","177","38"
"13:15:44,066517","0.718677000","0.125238000","27","140","18.142.186.24","2500","100.64.0.2","38394","88","265","38"
"13:15:44,066550","0.718710000","0.125271000","28","140","18.142.186.24","2500","100.64.0.2","38394","88","353","38"
