_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:19:16,750275","0.000000000","0.000000000","1","60","100.64.0.2","45926","18.142.186.24","2500","0","0","0"
"13:19:16,753385","0.003110000","0.003110000","2","60","18.142.186.24","2500","100.64.0.2","45926","0","0","1"
"13:19:16,871389","0.121114000","0.121114000","3","52","100.64.0.2","45926","18.142.186.24","2500","0","1","1"
"13:19:16,871409","0.121134000","0.121134000","4","89","100.64.0.2","45926","18.142.186.24","2500","37","1","1"
"13:19:16,874360","0.124085000","0.124085000","5","52","18.142.186.24","2500","100.64.0.2","45926","0","1","38"
"13:19:16,874570","0.124295000","0.124295000","6","53","18.142.186.24","2500","100.64.0.2","45926","1","1","38"
"13:19:16,991851","0.241576000","0.241576000","7","52","100.64.0.2","45926","18.142.186.24","2500","0","38","2"
"13:19:16,991870","0.241595000","0.241595000","8","56","100.64.0.2","45926","18.142.186.24","2500","4","38","2"
"13:19:16,991878","0.241603000","0.241603000","9","100","100.64.0.2","45926","18.142.186.24","2500","48","42","2"
"13:19:16,991886","0.241611000","0.241611000","10","100","100.64.0.2","45926","18.142.186.24","2500","48","90","2"
"13:19:16,991894","0.241619000","0.241619000","11","100","100.64.0.2","45926","18.142.186.24","2500","48","138","2"
"13:19:16,995937","0.245662000","0.245662000","12","52","18.142.186.24","2500","100.64.0.2","45926","0","2","186"
"13:19:17,103904","0.353629000",,"13","76",,,,,,,
"13:19:17,112489","0.362214000","0.362214000","14","57","100.64.0.2","45926","18.142.186.24","2500","5","186","2"
"13:19:17,115323","0.365048000","0.365048000","15","53","18.142.186.24","2500","100.64.0.2","45926","1","2","191"
"13:19:17,232291","0.482016000","0.000000000","16","60","100.64.0.2","45934","18.142.186.24","2500","0","0","0"
"13:19:17,235413","0.485138000","0.003122000","17","60","18.142.186.24","2500","100.64.0.2","45934","0","0","1"
"13:19:17,268404","0.518129000","0.518129000","18","52","100.64.0.2","45926","18.142.186.24","2500","0","191","3"
"13:19:17,295908","0.545633000",,"19","76",,,,,,,
"13:19:17,352475","0.602200000","0.120184000","20","52","100.64.0.2","45934","18.142.186.24","2500","0","1","1"
"13:19:17,352494","0.602219000","0.120203000","21","89","100.64.0.2","45934","18.142.186.24","2500","37","1","1"
"13:19:17,355409","0.605134000","0.123118000","22","52","18.142.186.24","2500","100.64.0.2","45934","0","1","38"
"13:19:17,356280","0.606005000","0.123989000","23","140","18.142.186.24","2500","100.64.0.2","45934","88","1","38"
"13:19:17,356468","0.606193000","0.124177000","24","140","18.142.186.24","2500","100.64.0.2","45934","88","89","38"
"13:19:17,356500","0.606225000","0.606225000","25","53","18.142.186.24","2500","100.64.0.2","45926","1","3","191"
"13:19:17,357260","0.606985000","0.124969000","26","140","18.142.186.24","2500","100.64.0.2","45934","88","177","38"
"13:19:17,357292","0.607017000","0.125001000","27","140","18.142.186.24","2500","100.64.0.2","45934","88","265","38"
"13:19:17,357326","0.607051000","0.125035000","28","140","18.142.186.24","2500","100.64.0.2","45934","88","353","38"
"13:19:17,357335","0.607060000","0.125044000","29","140","18.142.186.24","2500","100.64.0.2","45934","88","441","38"
"13:19:17,357365","0.607090000","0.125074000","30","140","18.142.186.24","2500","100.64.0.2","45934","88","529","38"
"13:19:17,357374","0.607099000","0.125083000","31","140","18.142.186.24","2500","100.64.0.2","45934","88","617","38"
"13:19:17,357403","0.607128000","0.125112000","32","140","18.142.186.24","2500","100.64.0.2","45934","88","705","38"
"13:19:17,357413","0.607138000","0.125122000","33","140","18.142.186.24","2500","100.64.0.2","45934","88","793","38"
"13:19:17,473541","0.723266000","0.241250000","34","52","100.64.0.2","45934","18.142.186.24","2500","0","38","89"
"13:19:17,473544","0.723269000","0.241253000","35","52","100.64.0.2","45934","18.142.186.24","2500","0","38","177"
"13:19:17,473546","0.723271000","0.723271000","36","52","100.64.0.2","45926","18.142.186.24","2500","0","191","4"
"13:19:17,473567","0.723292000","0.241276000","37","52","100.64.0.2","45934","18.142.186.24","2500","0","38","265"
