_ws.col.Time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"13:27:15,635864","0.000000000",,"1","76",,,,,,,
"13:27:15,636624","0.000760000","0.000000000","2","60","100.64.0.2","39878","18.142.186.24","2500","0","0","0"
"13:27:15,639692","0.003828000","0.003068000","3","60","18.142.186.24","2500","100.64.0.2","39878","0","0","1"
"13:27:15,727900","0.092036000",,"4","76",,,,,,,
"13:27:15,757697","0.121833000","0.121073000","5","52","100.64.0.2","39878","18.142.186.24","2500","0","1","1"
"13:27:15,757716","0.121852000","0.121092000","6","89","100.64.0.2","39878","18.142.186.24","2500","37","1","1"
"13:27:15,760387","0.124523000","0.123763000","7","52","18.142.186.24","2500","100.64.0.2","39878","0","1","38"
"13:27:15,760604","0.124740000","0.123980000","8","53","18.142.186.24","2500","100.64.0.2","39878","1","1","38"
"13:27:15,877970","0.242106000","0.241346000","9","52","100.64.0.2","39878","18.142.186.24","2500","0","38","2"
"13:27:15,877990","0.242126000","0.241366000","10","56","100.64.0.2","39878","18.142.186.24","2500","4","38","2"
"13:27:15,877998","0.242134000","0.241374000","11","100","100.64.0.2","39878","18.142.186.24","2500","48","42","2"
"13:27:15,878006","0.242142000","0.241382000","12","100","100.64.0.2","39878","18.142.186.24","2500","48","90","2"
"13:27:15,878013","0.242149000","0.241389000","13","100","100.64.0.2","39878","18.142.186.24","2500","48","138","2"
"13:27:15,881849","0.245985000","0.245225000","14","52","18.142.186.24","2500","100.64.0.2","39878","0","2","186"
"13:27:15,998829","0.362965000","0.362205000","15","53","100.64.0.2","39878","18.142.186.24","2500","1","186","2"
"13:27:16,001539","0.365675000","0.364915000","16","53","18.142.186.24","2500","100.64.0.2","39878","1","2","187"
"13:27:16,118239","0.482375000","0.000000000","17","60","100.64.0.2","39894","18.142.186.24","2500","0","0","0"
"13:27:16,121913","0.486049000","0.003674000","18","60","18.142.186.24","2500","100.64.0.2","39894","0","0","1"
"13:27:16,166397","0.530533000","0.529773000","19","52","100.64.0.2","39878","18.142.186.24","2500","0","187","3"
"13:27:16,238952","0.603088000","0.120713000","20","52","100.64.0.2","39894","18.142.186.24","2500","0","1","1"
"13:27:16,238971","0.603107000","0.120732000","21","89","100.64.0.2","39894","18.142.186.24","2500","37","1","1"
"13:27:16,241926","0.606062000","0.123687000","22","52","18.142.186.24","2500","100.64.0.2","39894","0","1","38"
"13:27:16,242552","0.606688000","0.605928000","23","53","18.142.186.24","2500","100.64.0.2","39878","1","3","187"
"13:27:16,243037","0.607173000","0.124798000","24","140","18.142.186.24","2500","100.64.0.2","39894","88","1","38"
"13:27:16,243068","0.607204000","0.124829000","25","140","18.142.186.24","2500","100.64.0.2","39894","88","89","38"
"13:27:16,243710","0.607846000","0.125471000","26","140","18.142.186.24","2500","100.64.0.2","39894","88","177","38"
"13:27:16,243759","0.607895000","0.125520000","27","140","18.142.186.24","2500","100.64.0.2","39894","88","265","38"
"13:27:16,243795","0.607931000","0.125556000","28","140","18.142.186.24","2500","100.64.0.2","39894","88","353","38"
"13:27:16,243805","0.607941000","0.125566000","29","140","18.142.186.24","2500","100.64.0.2","39894","88","441","38"
"13:27:16,243833","0.607969000","0.125594000","30","140","18.142.186.24","2500","100.64.0.2","39894","88","529","38"
"13:27:16,243842","0.607978000","0.125603000","31","140","18.142.186.24","2500","100.64.0.2","39894","88","617","38"
"13:27:16,243871","0.608007000","0.125632000","32","140","18.142.186.24","2500","100.64.0.2","39894","88","705","38"
"13:27:16,243881","0.608017000","0.125642000","33","140","18.142.186.24","2500","100.64.0.2","39894","88","793","38"
"13:27:16,360009","0.724145000","0.723385000","34","52","100.64.0.2","39878","18.142.186.24","2500","0","187","4"
"13:27:16,360012","0.724148000","0.241773000","35","52","100.64.0.2","39894","18.142.186.24","2500","0","38","89"
"13:27:16,360014","0.724150000","0.241775000","36","52","100.64.0.2","39894","18.142.186.24","2500","0","38","177"
"13:27:16,360015","0.724151000","0.241776000","37","52","100.64.0.2","39894","18.142.186.24","2500","0","38","265"
"13:27:16,360016","0.724152000","0.241777000","38","52","100.64.0.2","39894","18.142.186.24","2500","0","38","353"
"13:27:16,360017","0.724153000","0.241778000","39","52","100.64.0.2","39894","18.142.186.24","2500","0","38","441"
"13:27:16,360019","0.724155000","0.241780000","40","52","100.64.0.2","39894","18.142.186.24","2500","0","38","529"
"13:27:16,360020","0.724156000","0.241781000","41","52","100.64.0.2","39894","18.142.186.24","2500","0","38","617"
"13:27:16,360022","0.724158000","0.241783000","42","52","100.64.0.2","39894","18.142.186.24","2500","0","38","705"
"13:27:16,360023","0.724159000","0.241784000","43","52","100.64.0.2","39894","18.142.186.24","2500","0","38","793"
"13:27:16,362244","0.726380000","0.725620000","44","53","18.142.186.24","2500","100.64.0.2","39878","1","4","187"
"13:27:16,362586","0.726722000","0.244347000","45","140","18.142.186.24","2500","100.64.0.2","39894","88","881","38"
"13:27:16,362591","0.726727000","0.244352000","46","140","18.142.186.24","2500","100.64.0.2","39894","88","969","38"
"13:27:16,362597","0.726733000","0.244358000","47","140","18.142.186.24","2500","100.64.0.2","39894","88","1057","38"
"13:27:16,362598","0.726734000","0.244359000","48","140","18.142.186.24","2500","100.64.0.2","39894","88","1145","38"
